id,name,supertype,subtypes,rules,set,number,artist,rarity,legalities,images,tcgplayer,cardmarket,types,regulationMark
base6-100,Full Heal Energy,Energy,['Special'],"[""If you play this card from your hand, the Pokémon you attach it to is no longer affected by a Special Condition. Full Heal Energy provides Colorless energy. (Doesn't count as a basic Energy card.)""]","{'id': 'base6', 'name': 'Legendary Collection', 'series': 'Other', 'printedTotal': 110, 'total': 110, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LC', 'releaseDate': '2002/05/24', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/base6/symbol.png', 'logo': 'https://images.pokemontcg.io/base6/logo.png'}}",100,Keiji Kinebuchi,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base6/100.png', 'large': 'https://images.pokemontcg.io/base6/100_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base6-100', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.72, 'mid': 1.13, 'high': 3.0, 'market': 1.13, 'directLow': None}, 'reverseHolofoil': {'low': 22.92, 'mid': 29.5, 'high': 34.49, 'market': 31.62, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base6-100', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.64, 'lowPrice': 0.09, 'trendPrice': 1.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 10.0, 'reverseHoloLow': 10.0, 'reverseHoloTrend': 13.9, 'lowPriceExPlus': 0.48, 'avg1': 0.95, 'avg7': 1.23, 'avg30': 0.84, 'reverseHoloAvg1': 10.0, 'reverseHoloAvg7': 11.52, 'reverseHoloAvg30': 15.84}}",,
base6-101,Potion Energy,Energy,['Special'],"[""If you play this card from your hand, remove 1 damage counter from the Pokémon you attach it to, if it has any. Potion Energy provides Colorless energy. (Doesn't count as a basic Energy card.)""]","{'id': 'base6', 'name': 'Legendary Collection', 'series': 'Other', 'printedTotal': 110, 'total': 110, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LC', 'releaseDate': '2002/05/24', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/base6/symbol.png', 'logo': 'https://images.pokemontcg.io/base6/logo.png'}}",101,Keiji Kinebuchi,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base6/101.png', 'large': 'https://images.pokemontcg.io/base6/101_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base6-101', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.38, 'mid': 0.63, 'high': 6.07, 'market': 0.62, 'directLow': 0.54}, 'reverseHolofoil': {'low': 20.9, 'mid': 23.81, 'high': 99.99, 'market': 29.5, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/base6-101', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.82, 'lowPrice': 0.02, 'trendPrice': 0.82, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 18.95, 'reverseHoloLow': 12.5, 'reverseHoloTrend': 19.71, 'lowPriceExPlus': 0.35, 'avg1': 1.0, 'avg7': 0.9, 'avg30': 0.58, 'reverseHoloAvg1': 19.9, 'reverseHoloAvg7': 20.36, 'reverseHoloAvg30': 20.63}}",,
bw4-93,Prism Energy,Energy,['Special'],"['This card provides Colorless Energy.', 'If the Pokémon this card is attached to is a Basic Pokémon, this card provides every type of Energy but provides only 1 Energy at a time.']","{'id': 'bw4', 'name': 'Next Destinies', 'series': 'Black & White', 'printedTotal': 99, 'total': 103, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'NXD', 'releaseDate': '2012/02/08', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/bw4/symbol.png', 'logo': 'https://images.pokemontcg.io/bw4/logo.png'}}",93,5ban Graphics,Uncommon,"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/bw4/93.png', 'large': 'https://images.pokemontcg.io/bw4/93_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/bw4-93', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 1.37, 'mid': 2.45, 'high': 5.0, 'market': 2.46, 'directLow': None}, 'reverseHolofoil': {'low': 2.0, 'mid': 4.5, 'high': 10.0, 'market': 4.32, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/bw4-93', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.11, 'lowPrice': 0.02, 'trendPrice': 1.34, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.15, 'reverseHoloTrend': 2.78, 'lowPriceExPlus': 0.05, 'avg1': 1.25, 'avg7': 0.99, 'avg30': 0.85, 'reverseHoloAvg1': 1.5, 'reverseHoloAvg7': 2.85, 'reverseHoloAvg30': 2.16}}",,
bw6-117,Blend Energy GrassFirePsychicDarkness,Energy,['Special'],"['This card provides Colorless Energy. When this card is attached to a Pokémon, this card provides Grass, Fire, Psychic, or Darkness Energy but provides only 1 Energy at a time.']","{'id': 'bw6', 'name': 'Dragons Exalted', 'series': 'Black & White', 'printedTotal': 124, 'total': 128, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DRX', 'releaseDate': '2012/08/15', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/bw6/symbol.png', 'logo': 'https://images.pokemontcg.io/bw6/logo.png'}}",117,5ban Graphics,Uncommon,"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/bw6/117.png', 'large': 'https://images.pokemontcg.io/bw6/117_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/bw6-117', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 2.34, 'mid': 3.23, 'high': 8.68, 'market': 3.02, 'directLow': None}, 'reverseHolofoil': {'low': 3.39, 'mid': 5.99, 'high': 9.99, 'market': 7.19, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/bw6-117', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 4.76, 'lowPrice': 1.0, 'trendPrice': 2.91, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 1.84, 'lowPriceExPlus': 1.0, 'avg1': 5.95, 'avg7': 3.27, 'avg30': 2.22, 'reverseHoloAvg1': 2.0, 'reverseHoloAvg7': 1.59, 'reverseHoloAvg30': 1.32}}",,
bw6-118,Blend Energy WaterLightningFightingMetal,Energy,['Special'],"['This card provides Colorless Energy. When this card is attached to a Pokémon, this card provides Water, Lightning, Fighting, or Metal Energy but provides only 1 Energy at a time.']","{'id': 'bw6', 'name': 'Dragons Exalted', 'series': 'Black & White', 'printedTotal': 124, 'total': 128, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DRX', 'releaseDate': '2012/08/15', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/bw6/symbol.png', 'logo': 'https://images.pokemontcg.io/bw6/logo.png'}}",118,5ban Graphics,Uncommon,"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/bw6/118.png', 'large': 'https://images.pokemontcg.io/bw6/118_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/bw6-118', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 3.85, 'mid': 6.92, 'high': 9.99, 'market': 6.96, 'directLow': None}, 'reverseHolofoil': {'low': 7.0, 'mid': 11.21, 'high': 39.99, 'market': 11.27, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/bw6-118', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.63, 'lowPrice': 0.02, 'trendPrice': 2.2, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.1, 'reverseHoloTrend': 3.67, 'lowPriceExPlus': 0.03, 'avg1': 0.14, 'avg7': 1.62, 'avg30': 2.0, 'reverseHoloAvg1': 5.0, 'reverseHoloAvg7': 4.0, 'reverseHoloAvg30': 2.83}}",,
dc1-33,Double Aqua Energy,Energy,['Special'],"['This card can only be attached to Team Aqua Pokémon. Discard this card at the end of the turn you attached it.', 'This card provides WaterWater Energy only while it is attached to a Team Aqua Pokémon.', '(If this card is attached to anything other than a Team Aqua Pokémon, discard this card.)']","{'id': 'dc1', 'name': 'Double Crisis', 'series': 'XY', 'printedTotal': 34, 'total': 34, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DCR', 'releaseDate': '2015/03/25', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/dc1/symbol.png', 'logo': 'https://images.pokemontcg.io/dc1/logo.png'}}",33,5ban Graphics,Uncommon,"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/dc1/33.png', 'large': 'https://images.pokemontcg.io/dc1/33_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dc1-33', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.1, 'mid': 0.54, 'high': 2.59, 'market': 0.56, 'directLow': None}, 'reverseHolofoil': {'low': 0.9, 'mid': 2.2, 'high': 3.67, 'market': 2.87, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dc1-33', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.19, 'lowPrice': 0.99, 'trendPrice': 2.77, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 5.0, 'reverseHoloLow': 3.5, 'reverseHoloTrend': 12.06, 'lowPriceExPlus': 1.5, 'avg1': 2.7, 'avg7': 2.48, 'avg30': 2.61, 'reverseHoloAvg1': 5.0, 'reverseHoloAvg7': 12.84, 'reverseHoloAvg30': 4.92}}",,
dc1-34,Double Magma Energy,Energy,['Special'],"['This card can only be attached to Team Magma Pokémon. Discard this card at the end of the turn you attached it.', 'This card provides FightingFighting Energy only while it is attached to a Team Magma Pokémon.', '(If this card is attached to anything other than a Team Magma Pokémon, discard this card.)']","{'id': 'dc1', 'name': 'Double Crisis', 'series': 'XY', 'printedTotal': 34, 'total': 34, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DCR', 'releaseDate': '2015/03/25', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/dc1/symbol.png', 'logo': 'https://images.pokemontcg.io/dc1/logo.png'}}",34,5ban Graphics,Uncommon,"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/dc1/34.png', 'large': 'https://images.pokemontcg.io/dc1/34_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dc1-34', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.25, 'mid': 0.5, 'high': 2.4, 'market': 0.54, 'directLow': None}, 'reverseHolofoil': {'low': 0.55, 'mid': 1.04, 'high': 3.67, 'market': 1.25, 'directLow': 0.88}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dc1-34', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.2, 'lowPrice': 0.25, 'trendPrice': 1.21, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 1.0, 'reverseHoloTrend': 3.3, 'lowPriceExPlus': 0.94, 'avg1': 1.99, 'avg7': 1.17, 'avg30': 1.2, 'reverseHoloAvg1': 4.0, 'reverseHoloAvg7': 3.85, 'reverseHoloAvg30': 2.07}}",,
dp2-118,Multi Energy,Energy,['Special'],"['Attach Multi Energy to 1 of your Pokémon. While in play, Multi Energy provides every type of Energy but provides only 1 Energy at a time. (Has no effect other than providing Energy.) Multi Energy provides Colorless Energy when attached to a Pokémon that already has Special Energy cards attached to it.']","{'id': 'dp2', 'name': 'Mysterious Treasures', 'series': 'Diamond & Pearl', 'printedTotal': 123, 'total': 124, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'MT', 'releaseDate': '2007/08/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp2/symbol.png', 'logo': 'https://images.pokemontcg.io/dp2/logo.png'}}",118,Takumi Akabane,Rare,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp2/118.png', 'large': 'https://images.pokemontcg.io/dp2/118_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp2-118', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 1.5, 'mid': 1.89, 'high': 4.99, 'market': 1.88, 'directLow': None}, 'reverseHolofoil': {'low': 1.55, 'mid': 3.25, 'high': 4.99, 'market': 3.99, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dp2-118', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.97, 'lowPrice': 0.05, 'trendPrice': 1.15, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 1.37, 'reverseHoloLow': 0.5, 'reverseHoloTrend': 1.0, 'lowPriceExPlus': 0.45, 'avg1': 0.5, 'avg7': 1.22, 'avg30': 1.13, 'reverseHoloAvg1': 1.37, 'reverseHoloAvg7': 0.97, 'reverseHoloAvg30': 1.35}}",,
dp5-92,Call Energy,Energy,['Special'],"['Call Energy provides Colorless Energy. Once during your turn, if the Pokémon Call Energy is attached to is your Active Pokémon, you may search your deck for up to 2 Basic Pokémon and put them onto your Bench. If you do, shuffle your deck and your turn ends.']","{'id': 'dp5', 'name': 'Majestic Dawn', 'series': 'Diamond & Pearl', 'printedTotal': 100, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'MD', 'releaseDate': '2008/05/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp5/symbol.png', 'logo': 'https://images.pokemontcg.io/dp5/logo.png'}}",92,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp5/92.png', 'large': 'https://images.pokemontcg.io/dp5/92_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp5-92', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 11.8, 'mid': 16.0, 'high': 20.0, 'market': 14.23, 'directLow': None}, 'reverseHolofoil': {'low': 17.85, 'mid': 19.98, 'high': 22.0, 'market': 15.33, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dp5-92', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 3.95, 'lowPrice': 1.0, 'trendPrice': 3.6, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 4.43, 'reverseHoloLow': 1.5, 'reverseHoloTrend': 5.45, 'lowPriceExPlus': 1.5, 'avg1': 2.37, 'avg7': 4.23, 'avg30': 4.0, 'reverseHoloAvg1': 5.69, 'reverseHoloAvg7': 5.27, 'reverseHoloAvg30': 5.47}}",,
dp5-94,Health Energy,Energy,['Special'],"['Health Energy provides Colorless Energy. When you attach this card from your hand to 1 of your Pokémon, remove 1 damage counter from that Pokémon.']","{'id': 'dp5', 'name': 'Majestic Dawn', 'series': 'Diamond & Pearl', 'printedTotal': 100, 'total': 100, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'MD', 'releaseDate': '2008/05/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp5/symbol.png', 'logo': 'https://images.pokemontcg.io/dp5/logo.png'}}",94,Takumi Akabane,Uncommon,{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp5/94.png', 'large': 'https://images.pokemontcg.io/dp5/94_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp5-94', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.2, 'mid': 0.43, 'high': 2.5, 'market': 0.41, 'directLow': None}, 'reverseHolofoil': {'low': 0.5, 'mid': 1.02, 'high': 2.63, 'market': 1.0, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/dp5-94', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.38, 'lowPrice': 0.03, 'trendPrice': 0.69, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.25, 'reverseHoloTrend': 0.76, 'lowPriceExPlus': 0.13, 'avg1': 1.5, 'avg7': 0.39, 'avg30': 0.49, 'reverseHoloAvg1': 0.39, 'reverseHoloAvg7': 0.67, 'reverseHoloAvg30': 0.76}}",,
