id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swsh9-115,Farfetch'd,Pokémon,['Basic'],80,['Colorless'],,"[{'name': 'Leek Lash', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': ""This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.""}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",115,Tomokazu Komiya,Common,[83],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/115.png', 'large': 'https://images.pokemontcg.io/swsh9/115_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-115', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.07, 'high': 11.5, 'market': 0.04, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 2.0, 'market': 0.15, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-115', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 6.56, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 8.78, 'lowPriceExPlus': 0.02, 'avg1': 0.08, 'avg7': 0.04, 'avg30': 0.04, 'reverseHoloAvg1': 0.23, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 4.47}}",,,"[""Sirfetch'd""]","The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-116,Castform,Pokémon,['Basic'],70,['Colorless'],,"[{'name': 'Double Draw', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Draw 2 cards.'}, {'name': 'Hurricane', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '30', 'text': 'Move a basic Energy from this Pokémon to 1 of your Benched Pokémon.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",116,kawayoo,Common,[351],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/116.png', 'large': 'https://images.pokemontcg.io/swsh9/116_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-116', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 1.27, 'market': 0.04, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.18, 'high': 2.0, 'market': 0.11, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-116', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.13, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.15, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.09, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.14}}",,,,"Its form changes depending on the weather. The rougher conditions get, the rougher Castform's disposition!",
swsh9-117,Starly,Pokémon,['Basic'],60,['Colorless'],,"[{'name': 'Claw', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '30', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",117,Saya Tsuruta,Common,[396],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/117.png', 'large': 'https://images.pokemontcg.io/swsh9/117_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-117', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.15, 'high': 2.0, 'market': 0.11, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.06, 'high': 2.02, 'market': 0.04, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-117', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.02, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.15}}",,,['Staravia'],"They flock around mountains and fields, chasing after bug Pokémon. Their singing is noisy and annoying.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-118,Staravia,Pokémon,['Stage 1'],90,['Colorless'],,"[{'name': 'Wing Attack', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '50', 'text': ''}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",118,Kouki Saitou,Uncommon,[397],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/118.png', 'large': 'https://images.pokemontcg.io/swsh9/118_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-118', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.18, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 2.0, 'market': 0.1, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-118', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.19, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.22, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.04, 'avg30': 0.03, 'reverseHoloAvg1': 0.37, 'reverseHoloAvg7': 0.23, 'reverseHoloAvg30': 0.18}}",Starly,,['Staraptor'],It lives in forests and fields. Squabbles over territory occur when flocks collide.,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-119,Staraptor,Pokémon,['Stage 2'],150,['Colorless'],,"[{'name': 'Strong Breeze', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': 'Your opponent shuffles their Active Pokémon and all attached cards into their deck.'}, {'name': 'Spinning Bird', 'cost': ['Colorless', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '180', 'text': 'Discard 2 Energy from this Pokémon.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",119,Narumi Sato,Rare,[398],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/119.png', 'large': 'https://images.pokemontcg.io/swsh9/119_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-119', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.04, 'mid': 0.2, 'high': 2.0, 'market': 0.15, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.12, 'high': 11.5, 'market': 0.08, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-119', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.09, 'lowPrice': 0.02, 'trendPrice': 0.12, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.2, 'lowPriceExPlus': 0.02, 'avg1': 0.04, 'avg7': 0.14, 'avg30': 0.1, 'reverseHoloAvg1': 0.11, 'reverseHoloAvg7': 0.26, 'reverseHoloAvg30': 0.16}}",Staravia,,,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-120,Bidoof,Pokémon,['Basic'],70,['Colorless'],,"[{'name': 'Rollout', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",120,Oswaldo KATO,Common,[399],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/120.png', 'large': 'https://images.pokemontcg.io/swsh9/120_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-120', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.17, 'high': 2.0, 'market': 0.12, 'directLow': 0.1}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 11.5, 'market': 0.04, 'directLow': 0.03}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-120', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.06, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.22, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.23, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.05, 'avg30': 0.04, 'reverseHoloAvg1': 0.05, 'reverseHoloAvg7': 0.25, 'reverseHoloAvg30': 0.21}}",,,['Bibarel'],It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.,
swsh9-121,Bibarel,Pokémon,['Stage 1'],120,['Colorless'],,"[{'name': 'Tail Smash', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '100', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",121,OKACHEKE,Rare Holo,[400],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/121.png', 'large': 'https://images.pokemontcg.io/swsh9/121_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-121', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.95, 'mid': 1.48, 'high': 3.99, 'market': 1.48, 'directLow': 2.73}, 'holofoil': {'low': 0.25, 'mid': 1.19, 'high': 9.08, 'market': 1.07, 'directLow': 1.24}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-121', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.71, 'lowPrice': 0.15, 'trendPrice': 0.62, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.15, 'avg1': 0.32, 'avg7': 0.62, 'avg30': 0.69, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Bidoof,"[{'name': 'Industrious Incisors', 'text': 'Once during your turn, you may draw cards until you have 5 cards in your hand.', 'type': 'Ability'}]",,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,
swsh9-122,Arceus V,Pokémon,"['Basic', 'V']",220,['Colorless'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Trinity Charge', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': 'Search your deck for up to 3 basic Energy cards and attach them to your Pokémon V in any way you like. Then, shuffle your deck.'}, {'name': 'Power Edge', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '130', 'text': ''}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",122,N-DESIGN Inc.,Rare Holo V,[493],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/122.png', 'large': 'https://images.pokemontcg.io/swsh9/122_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-122', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.99, 'mid': 2.0, 'high': 35.0, 'market': 1.77, 'directLow': 2.09}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-122', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 13.71, 'lowPrice': 9.5, 'trendPrice': 13.53, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 9.5, 'avg1': 10.5, 'avg7': 13.35, 'avg30': 13.34, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
swsh9-123,Arceus VSTAR,Pokémon,['VSTAR'],280,['Colorless'],"['VSTAR rule: When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Trinity Nova', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '200', 'text': 'Search your deck for up to 3 basic Energy cards and attach them to your Pokémon V in any way you like. Then, shuffle your deck.'}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",123,5ban Graphics,Rare Holo VSTAR,[493],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/123.png', 'large': 'https://images.pokemontcg.io/swsh9/123_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-123', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 1.49, 'mid': 4.91, 'high': 99.95, 'market': 3.65, 'directLow': 4.31}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-123', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.94, 'lowPrice': 0.8, 'trendPrice': 2.25, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.8, 'avg1': 1.99, 'avg7': 2.44, 'avg30': 2.85, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Arceus V,"[{'name': 'Starbirth', 'text': ""During your turn, you may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck. (You can't use more than 1 VSTAR Power in a game.)"", 'type': 'Ability'}]",,,
swsh9-124,Minccino,Pokémon,['Basic'],60,['Colorless'],,"[{'name': 'Call for Family', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.'}, {'name': 'Pound', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",124,Mina Nakai,Common,[572],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/124.png', 'large': 'https://images.pokemontcg.io/swsh9/124_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-124', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.11, 'high': 11.5, 'market': 0.06, 'directLow': None}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.35, 'high': 6.98, 'market': 0.22, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-124', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.21, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.25, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.06, 'avg30': 0.04, 'reverseHoloAvg1': 0.18, 'reverseHoloAvg7': 0.2, 'reverseHoloAvg30': 0.17}}",,,['Cinccino'],The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.,
