id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swsh9-84,Grimer,Pokémon,['Basic'],80,['Darkness'],,"[{'name': 'Poison Gas', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Your opponent's Active Pokémon is now Poisoned.""}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",84,Masakazu Fukuda,Common,[88],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/84.png', 'large': 'https://images.pokemontcg.io/swsh9/84_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-84', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.16, 'high': 2.0, 'market': 0.14, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 1.5, 'market': 0.07, 'directLow': 0.01}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-84', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.21, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.45, 'reverseHoloAvg7': 0.17, 'reverseHoloAvg30': 0.15}}",,,['Muk'],"The wastewater coming from factories is clean these days, so Grimer have nothing to eat. They're said to be on the verge of extinction.",
swsh9-85,Muk,Pokémon,['Stage 1'],130,['Darkness'],,"[{'name': 'Shrieking Poison', 'cost': ['Darkness', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '90', 'text': ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",85,Scav,Rare,[89],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/85.png', 'large': 'https://images.pokemontcg.io/swsh9/85_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-85', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.19, 'high': 3.3, 'market': 0.18, 'directLow': 0.12}, 'normal': {'low': 0.01, 'mid': 0.12, 'high': 5.01, 'market': 0.08, 'directLow': 0.07}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-85', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.09, 'lowPrice': 0.02, 'trendPrice': 0.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.22, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.24, 'lowPriceExPlus': 0.02, 'avg1': 0.04, 'avg7': 0.09, 'avg30': 0.08, 'reverseHoloAvg1': 0.05, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 0.21}}",Grimer,"[{'name': 'Sludge Street', 'text': ""The Retreat Cost of your opponent's Poisoned Pokémon is Colorless more."", 'type': 'Ability'}]",,"Because they scatter germs everywhere, they've long been targeted for extermination, leading to a steep decline in their population.",
swsh9-86,Sneasel,Pokémon,['Basic'],70,['Darkness'],,"[{'name': 'Scratch', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Slash', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",86,yuu,Common,[215],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/86.png', 'large': 'https://images.pokemontcg.io/swsh9/86_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-86', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 2.0, 'market': 0.04, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-86', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.02, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.14, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.15, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.02, 'avg30': 0.02, 'reverseHoloAvg1': 0.3, 'reverseHoloAvg7': 0.14, 'reverseHoloAvg30': 0.13}}",,,['Weavile'],"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",
swsh9-87,Weavile,Pokémon,['Stage 1'],90,['Darkness'],,"[{'name': 'Ransack', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Flip 2 coins. If either of them is heads, your opponent reveals their hand. For each heads, choose a card you find there and put it on the bottom of your opponent's deck in any order.""}, {'name': 'Slash', 'cost': ['Darkness', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '100', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",87,Hasuno,Uncommon,[461],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/87.png', 'large': 'https://images.pokemontcg.io/swsh9/87_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-87', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.18, 'market': 0.03, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 1.95, 'market': 0.15, 'directLow': 0.04}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-87', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.02, 'lowPrice': 0.02, 'trendPrice': 0.02, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.21, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.22, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.02, 'reverseHoloAvg1': 0.11, 'reverseHoloAvg7': 0.23, 'reverseHoloAvg30': 0.19}}",Sneasel,,,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.,
swsh9-88,Honchkrow V,Pokémon,"['Basic', 'V']",200,['Darkness'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Fearsome Shadow', 'cost': ['Darkness', 'Darkness', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '130', 'text': 'Your opponent reveals their hand.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",88,PLANETA Mochizuki,Rare Holo V,[430],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/88.png', 'large': 'https://images.pokemontcg.io/swsh9/88_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-88', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.24, 'mid': 0.75, 'high': 89.0, 'market': 0.51, 'directLow': 0.41}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-88', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.81, 'lowPrice': 0.19, 'trendPrice': 0.75, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.24, 'avg1': 0.45, 'avg7': 0.83, 'avg30': 0.78, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Boss Pockets', 'text': 'This Pokémon may have up to 4 Pokémon Tools attached to it. If it loses this Ability, discard Pokémon Tools from it until only 1 remains.', 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-89,Spiritomb,Pokémon,['Basic'],70,['Darkness'],,"[{'name': 'Ticking Terror', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Until the end of your next turn, the Defending Pokémon's Weakness is now Darkness. (The amount of Weakness doesn't change.)""}, {'name': 'Cursed Drop', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Put 2 damage counters on your opponent's Pokémon in any way you like.""}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",89,Uta,Common,[442],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/89.png', 'large': 'https://images.pokemontcg.io/swsh9/89_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-89', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.06, 'high': 11.5, 'market': 0.04, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': 0.1}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-89', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.02, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.17, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.03, 'avg30': 0.02, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.2, 'reverseHoloAvg30': 0.15}}",,,,Exactly 108 spirits gathered to become this Pokémon. Apparently there are some ill-natured spirits in the mix.,
swsh9-90,Purrloin,Pokémon,['Basic'],60,['Darkness'],,"[{'name': 'Surprise Attack', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': 'Flip a coin. If tails, this attack does nothing.'}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",90,Narumi Sato,Common,[509],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/90.png', 'large': 'https://images.pokemontcg.io/swsh9/90_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-90', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 2.0, 'market': 0.12, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 2.0, 'market': 0.07, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-90', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.14, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.14, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.09, 'reverseHoloAvg7': 0.14, 'reverseHoloAvg30': 0.14}}",,,['Liepard'],It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,
swsh9-91,Liepard,Pokémon,['Stage 1'],100,['Darkness'],,"[{'name': 'Slash', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '60', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",91,AKIRA EGAWA,Rare,[510],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/91.png', 'large': 'https://images.pokemontcg.io/swsh9/91_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-91', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.03, 'mid': 0.15, 'high': 5.04, 'market': 0.16, 'directLow': 0.08}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.22, 'high': 3.3, 'market': 0.14, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-91', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.12, 'lowPrice': 0.02, 'trendPrice': 0.06, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.33, 'reverseHoloLow': 0.03, 'reverseHoloTrend': 0.3, 'lowPriceExPlus': 0.02, 'avg1': 0.04, 'avg7': 0.1, 'avg30': 0.13, 'reverseHoloAvg1': 0.11, 'reverseHoloAvg7': 0.31, 'reverseHoloAvg30': 0.33}}",Purrloin,"[{'name': 'Trade', 'text': 'You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.', 'type': 'Ability'}]",,Don't be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,
swsh9-92,Impidimp,Pokémon,['Basic'],60,['Darkness'],,"[{'name': 'Call for Family', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.'}, {'name': 'Bite', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",92,Rianti Hidayat,Common,[859],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/92.png', 'large': 'https://images.pokemontcg.io/swsh9/92_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-92', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 1.31, 'market': 0.11, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.07, 'high': 2.02, 'market': 0.05, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-92', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.15, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.05, 'avg30': 0.03, 'reverseHoloAvg1': 0.23, 'reverseHoloAvg7': 0.18, 'reverseHoloAvg30': 0.13}}",,,['Morgrem'],"Through its nose, it sucks in the emanations produced by people and Pokémon when they feel annoyed. It thrives off this negative energy.",
swsh9-93,Morgrem,Pokémon,['Stage 1'],90,['Darkness'],,"[{'name': 'Smash Kick', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ''}, {'name': 'Pierce', 'cost': ['Darkness', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '50', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",93,Shiburingaru,Uncommon,[860],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/93.png', 'large': 'https://images.pokemontcg.io/swsh9/93_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-93', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 1.19, 'market': 0.04, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-93', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.12, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.18, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.04, 'avg30': 0.03, 'reverseHoloAvg1': 0.58, 'reverseHoloAvg7': 0.18, 'reverseHoloAvg30': 0.12}}",Impidimp,,['Grimmsnarl'],"When it gets down on all fours as if to beg for forgiveness, it's trying to lure opponents in so that it can stab them with its spear-like hair.",
