id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swsh9-106,Flygon V,Pokémon,"['Basic', 'V']",220,['Dragon'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Sand Spray', 'cost': ['Grass', 'Fighting'], 'convertedEnergyCost': 2, 'damage': '70', 'text': ''}, {'name': 'Draconic Impulse', 'cost': ['Grass', 'Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '160+', 'text': ""If your opponent's Active Pokémon is a Pokémon VMAX, this attack does 160 more damage, and discard 3 Energy from this Pokémon.""}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",106,PLANETA Mochizuki,Rare Holo V,[330],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/106.png', 'large': 'https://images.pokemontcg.io/swsh9/106_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-106', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.25, 'mid': 0.7, 'high': 89.0, 'market': 0.6, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-106', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.87, 'lowPrice': 0.2, 'trendPrice': 0.85, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.3, 'avg1': 0.75, 'avg7': 0.91, 'avg30': 0.87, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
swsh9-107,Gible,Pokémon,['Basic'],70,['Dragon'],,"[{'name': 'Gnaw', 'cost': ['Water', 'Fighting'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}]",,['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",107,sowsow,Common,[443],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/107.png', 'large': 'https://images.pokemontcg.io/swsh9/107_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-107', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.27, 'market': 0.07, 'directLow': None}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.17, 'high': 2.49, 'market': 0.16, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-107', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.04, 'avg30': 0.03, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.17, 'reverseHoloAvg30': 0.17}}",,,['Gabite'],"Gible prefers to stay in narrow holes in the sides of caves heated by geothermal energy. This way, Gible can stay warm even during a blizzard.",
swsh9-108,Gabite,Pokémon,['Stage 1'],90,['Dragon'],,"[{'name': 'Dragon Claw', 'cost': ['Water', 'Fighting'], 'convertedEnergyCost': 2, 'damage': '70', 'text': ''}]",,['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",108,hatachu,Uncommon,[444],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/108.png', 'large': 'https://images.pokemontcg.io/swsh9/108_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-108', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.16, 'high': 2.0, 'market': 0.15, 'directLow': 0.15}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.26, 'market': 0.07, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-108', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.15, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.04, 'avg30': 0.04, 'reverseHoloAvg1': 0.34, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 0.16}}",Gible,,['Garchomp'],This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.,
swsh9-109,Garchomp,Pokémon,['Stage 2'],160,['Dragon'],,"[{'name': 'Dragonblade', 'cost': ['Water', 'Fighting'], 'convertedEnergyCost': 2, 'damage': '160', 'text': 'Discard the top 2 cards of your deck.'}]",,['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",109,Nurikabe,Rare Holo,[445],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/109.png', 'large': 'https://images.pokemontcg.io/swsh9/109_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-109', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.06, 'mid': 0.29, 'high': 4.95, 'market': 0.22, 'directLow': None}, 'holofoil': {'low': 0.04, 'mid': 0.25, 'high': 10.17, 'market': 0.21, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-109', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.28, 'lowPrice': 0.02, 'trendPrice': 0.43, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.46, 'reverseHoloLow': 0.05, 'reverseHoloTrend': 0.51, 'lowPriceExPlus': 0.02, 'avg1': 0.12, 'avg7': 0.4, 'avg30': 0.28, 'reverseHoloAvg1': 0.6, 'reverseHoloAvg7': 0.39, 'reverseHoloAvg30': 0.41}}",Gabite,"[{'name': 'Sonic Slip', 'text': ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may prevent all damage from and effects of attacks from your opponent's Pokémon done to this Pokémon until the end of your opponent's next turn."", 'type': 'Ability'}]",,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can.",
swsh9-110,Axew,Pokémon,['Basic'],60,['Dragon'],,"[{'name': 'Ultra Evolution', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, search your deck for a Haxorus and put it onto this Axew to evolve it. Then, shuffle your deck.'}]",,['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",110,Saya Tsuruta,Common,[610],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/110.png', 'large': 'https://images.pokemontcg.io/swsh9/110_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-110', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.2, 'high': 2.0, 'market': 0.2, 'directLow': 0.15}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.5, 'market': 0.05, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-110', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.17, 'lowPriceExPlus': 0.02, 'avg1': 0.04, 'avg7': 0.04, 'avg30': 0.03, 'reverseHoloAvg1': 0.3, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.15}}",,,['Fraxure'],These Pokémon nest in the ground and use their tusks to crush hard berries. Crushing berries is also how they test each other's strength.,
sv3-162,Pidgey,Pokémon,['Basic'],60,['Colorless'],,"[{'name': 'Gust', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'sv3', 'name': 'Obsidian Flames', 'series': 'Scarlet & Violet', 'printedTotal': 197, 'total': 230, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2023/08/11', 'updatedAt': '2023/08/11 15:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/sv3/symbol.png', 'logo': 'https://images.pokemontcg.io/sv3/logo.png'}}",162,Naoyo Kimura,Common,[16],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/sv3/162.png', 'large': 'https://images.pokemontcg.io/sv3/162_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-162', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.24, 'high': 11.5, 'market': 0.18, 'directLow': None}, 'reverseHolofoil': {'low': 0.08, 'mid': 0.26, 'high': 4.99, 'market': 0.24, 'directLow': 0.3}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sv3-162', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.11, 'lowPrice': 0.02, 'trendPrice': 0.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.2, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.07, 'avg7': 0.12, 'avg30': 0.11, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 0.2}}",,,['Pidgeotto'],"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-111,Fraxure,Pokémon,['Stage 1'],100,['Dragon'],,"[{'name': 'Sharp Fang', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ''}, {'name': 'Dragon Claw', 'cost': ['Fighting', 'Metal'], 'convertedEnergyCost': 2, 'damage': '60', 'text': ''}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",111,Hataya,Uncommon,[611],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/111.png', 'large': 'https://images.pokemontcg.io/swsh9/111_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-111', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.5, 'market': 0.07, 'directLow': 0.05}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-111', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.15, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.05, 'avg30': 0.04, 'reverseHoloAvg1': 0.09, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.15}}",Axew,,['Haxorus'],"After battle, this Pokémon carefully sharpens its tusks on river rocks. It needs to take care of its tusks—if one breaks, it will never grow back.",
swsh9-112,Haxorus,Pokémon,['Stage 2'],170,['Dragon'],,"[{'name': 'Slash', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '60', 'text': ''}, {'name': 'Wild Axe', 'cost': ['Fighting', 'Metal'], 'convertedEnergyCost': 2, 'damage': '160', 'text': 'This Pokémon also does 30 damage to itself.'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",112,Uta,Rare,[612],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/112.png', 'large': 'https://images.pokemontcg.io/swsh9/112_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-112', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.2, 'high': 3.3, 'market': 0.19, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.15, 'high': 5.01, 'market': 0.12, 'directLow': 0.08}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-112', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.09, 'lowPrice': 0.02, 'trendPrice': 0.09, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.26, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.24, 'lowPriceExPlus': 0.02, 'avg1': 0.07, 'avg7': 0.1, 'avg30': 0.1, 'reverseHoloAvg1': 0.12, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 0.23}}",Fraxure,,,Its resilient tusks are its pride and joy. It licks up dirt to take in the minerals it needs to keep its tusks in top condition.,
svp-160,Squawkabilly ex,Pokémon,"['Basic', 'ex']",160,['Colorless'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Motivate', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Attach up to 2 Basic Energy cards from your discard pile to 1 of your Benched Pokémon.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'svp', 'name': 'Scarlet & Violet Black Star Promos', 'series': 'Scarlet & Violet', 'printedTotal': 165, 'total': 165, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SV', 'releaseDate': '2023/01/01', 'updatedAt': '2024/11/09 13:20:00', 'images': {'symbol': 'https://images.pokemontcg.io/svp/symbol.png', 'logo': 'https://images.pokemontcg.io/svp/logo.png'}}",160,,Promo,[931],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/svp/160.png', 'large': 'https://images.pokemontcg.io/svp/160_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/svp-160', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.99, 'mid': 1.99, 'high': 3.49, 'market': 1.94, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/svp-160', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.37, 'lowPrice': 1.39, 'trendPrice': 2.42, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.39, 'avg1': 2.0, 'avg7': 2.38, 'avg30': 2.35, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Squawk and Seize', 'text': ""Once during your first turn, you may discard your hand and draw 6 cards. You can't use more than 1 Squawk and Seize Ability during your turn."", 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-164,Flygon V,Pokémon,"['Basic', 'V']",220,['Dragon'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Sand Spray', 'cost': ['Grass', 'Fighting'], 'convertedEnergyCost': 2, 'damage': '70', 'text': ''}, {'name': 'Draconic Impulse', 'cost': ['Grass', 'Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '160+', 'text': ""If your opponent's Active Pokémon is a Pokémon VMAX, this attack does 160 more damage, and discard 3 Energy from this Pokémon.""}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",164,PLANETA Mochizuki,Rare Ultra,[330],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/164.png', 'large': 'https://images.pokemontcg.io/swsh9/164_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-164', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.84, 'mid': 1.66, 'high': 19.95, 'market': 1.49, 'directLow': 1.9}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-164', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.26, 'lowPrice': 1.03, 'trendPrice': 1.72, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.03, 'avg1': 1.64, 'avg7': 2.15, 'avg30': 2.27, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
