id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swsh9-72,Hitmontop,Pokémon,['Basic'],100,['Fighting'],,"[{'name': 'Spinning Draw', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Draw a card.'}, {'name': 'Cyclone Kick', 'cost': ['Fighting', 'Fighting', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '100', 'text': ''}]","[{'type': 'Psychic', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",72,ryoma uratsuka,Uncommon,[237],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/72.png', 'large': 'https://images.pokemontcg.io/swsh9/72_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-72', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.19, 'market': 0.06, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 1.22, 'market': 0.16, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-72', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.15, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.2, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.04, 'avg30': 0.03, 'reverseHoloAvg1': 0.25, 'reverseHoloAvg7': 0.24, 'reverseHoloAvg30': 0.16}}",,,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",
swsh9-73,Nosepass,Pokémon,['Basic'],90,['Fighting'],,"[{'name': 'Ram', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",73,miki kudo,Common,[299],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/73.png', 'large': 'https://images.pokemontcg.io/swsh9/73_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-73', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.06, 'high': 1.5, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 2.0, 'market': 0.13, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-73', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.14, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.06, 'avg30': 0.03, 'reverseHoloAvg1': 0.13, 'reverseHoloAvg7': 0.2, 'reverseHoloAvg30': 0.15}}",,,['Probopass'],It hunts without twitching a muscle by pulling in its prey with powerful magnetism. But sometimes it pulls natural enemies in close.,
swsh9-74,Trapinch,Pokémon,['Basic'],60,['Fighting'],,"[{'name': 'Rising Lunge', 'cost': ['Fighting'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': 'Flip a coin. If heads, this attack does 10 more damage.'}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",74,zig,Common,[328],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/74.png', 'large': 'https://images.pokemontcg.io/swsh9/74_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-74', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 1.5, 'market': 0.07, 'directLow': None}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-74', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.12, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.15, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.27, 'reverseHoloAvg7': 0.16, 'reverseHoloAvg30': 0.12}}",,,['Vibrava'],"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape.",
swsh9-75,Vibrava,Pokémon,['Stage 1'],90,['Fighting'],,"[{'name': 'Razor Wing', 'cost': ['Fighting'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",75,Tomokazu Komiya,Uncommon,[329],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/75.png', 'large': 'https://images.pokemontcg.io/swsh9/75_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-75', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 2.0, 'market': 0.08, 'directLow': None}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.17, 'high': 2.0, 'market': 0.17, 'directLow': 0.1}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-75', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.18, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.25, 'lowPriceExPlus': 0.02, 'avg1': 0.14, 'avg7': 0.06, 'avg30': 0.04, 'reverseHoloAvg1': 0.49, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 0.2}}",Trapinch,,['Flygon'],The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,
sv3-162,Pidgey,Pokémon,['Basic'],60,['Colorless'],,"[{'name': 'Gust', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'sv3', 'name': 'Obsidian Flames', 'series': 'Scarlet & Violet', 'printedTotal': 197, 'total': 230, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2023/08/11', 'updatedAt': '2023/08/11 15:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/sv3/symbol.png', 'logo': 'https://images.pokemontcg.io/sv3/logo.png'}}",162,Naoyo Kimura,Common,[16],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/sv3/162.png', 'large': 'https://images.pokemontcg.io/sv3/162_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-162', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.24, 'high': 11.5, 'market': 0.18, 'directLow': None}, 'reverseHolofoil': {'low': 0.08, 'mid': 0.26, 'high': 4.99, 'market': 0.24, 'directLow': 0.3}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sv3-162', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.11, 'lowPrice': 0.02, 'trendPrice': 0.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.2, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.07, 'avg7': 0.12, 'avg30': 0.11, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.22, 'reverseHoloAvg30': 0.2}}",,,['Pidgeotto'],"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-76,Flygon,Pokémon,['Stage 2'],150,['Fighting'],,"[{'name': 'Desert Pillar', 'cost': ['Fighting'], 'convertedEnergyCost': 1, 'damage': '50×', 'text': ""This attack does 50 damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}, {'name': 'Blasting Wind', 'cost': ['Fighting', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '110', 'text': ''}]","[{'type': 'Grass', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",76,Shin Nagasawa,Rare,[330],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/76.png', 'large': 'https://images.pokemontcg.io/swsh9/76_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-76', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.2, 'high': 3.3, 'market': 0.19, 'directLow': 0.15}, 'normal': {'low': 0.03, 'mid': 0.15, 'high': 5.03, 'market': 0.1, 'directLow': 0.08}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-76', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.12, 'lowPrice': 0.02, 'trendPrice': 0.15, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.32, 'reverseHoloLow': 0.04, 'reverseHoloTrend': 0.3, 'lowPriceExPlus': 0.02, 'avg1': 0.1, 'avg7': 0.18, 'avg30': 0.12, 'reverseHoloAvg1': 0.12, 'reverseHoloAvg7': 0.29, 'reverseHoloAvg30': 0.31}}",Vibrava,,,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,
swsh9-77,Wormadam,Pokémon,['Stage 1'],110,['Fighting'],,"[{'name': ""Matron's Anger"", 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30+', 'text': 'This attack does 10 more damage for each Pokémon in your discard pile.'}, {'name': 'Bind Down', 'cost': ['Fighting', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '80', 'text': ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]","[{'type': 'Grass', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",77,Lee HyunJung,Rare,[413],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/77.png', 'large': 'https://images.pokemontcg.io/swsh9/77_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-77', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.02, 'mid': 0.15, 'high': 11.5, 'market': 0.12, 'directLow': 0.05}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.16, 'high': 3.3, 'market': 0.09, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-77', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.11, 'lowPrice': 0.02, 'trendPrice': 0.17, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.17, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.15, 'avg30': 0.11, 'reverseHoloAvg1': 0.02, 'reverseHoloAvg7': 0.19, 'reverseHoloAvg30': 0.17}}",Burmy,,,"When Burmy evolved, its cloak became a part of this Pokémon's body. The cloak is never shed.",
sv6-141,Bloodmoon Ursaluna ex,Pokémon,"['Basic', 'ex']",260,['Colorless'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Blood Moon', 'cost': ['Colorless', 'Colorless', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 5, 'damage': '240', 'text': ""During your next turn, this Pokémon can't attack.""}]","[{'type': 'Fighting', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'sv6', 'name': 'Twilight Masquerade', 'series': 'Scarlet & Violet', 'printedTotal': 167, 'total': 226, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'TWM', 'releaseDate': '2024/05/24', 'updatedAt': '2024/05/23 15:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/sv6/symbol.png', 'logo': 'https://images.pokemontcg.io/sv6/logo.png'}}",141,aky CG Works,Double Rare,[901],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",H,"{'small': 'https://images.pokemontcg.io/sv6/141.png', 'large': 'https://images.pokemontcg.io/sv6/141_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-141', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.5, 'mid': 1.7, 'high': 9.99, 'market': 1.8, 'directLow': 1.9}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sv6-141', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.71, 'lowPrice': 0.5, 'trendPrice': 1.46, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.72, 'avg1': 1.75, 'avg7': 1.52, 'avg30': 1.62, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Seasoned Skill', 'text': 'Blood Moon used by this Pokémon costs Colorless less for each Prize card your opponent has taken.', 'type': 'Ability'}]",,,
sv3-164,Pidgeot ex,Pokémon,"['Stage 2', 'ex']",280,['Colorless'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Blustery Wind', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '120', 'text': 'You may discard a Stadium in play.'}]","[{'type': 'Lightning', 'value': '×2'}]",,,"{'id': 'sv3', 'name': 'Obsidian Flames', 'series': 'Scarlet & Violet', 'printedTotal': 197, 'total': 230, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2023/08/11', 'updatedAt': '2023/08/11 15:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/sv3/symbol.png', 'logo': 'https://images.pokemontcg.io/sv3/logo.png'}}",164,takuyoa,Double Rare,[18],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/sv3/164.png', 'large': 'https://images.pokemontcg.io/sv3/164_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-164', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 2.42, 'mid': 4.55, 'high': 14.99, 'market': 3.6, 'directLow': 4.79}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sv3-164', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 5.95, 'lowPrice': 3.0, 'trendPrice': 5.2, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 3.0, 'avg1': 4.75, 'avg7': 5.34, 'avg30': 5.83, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Pidgeotto,"[{'name': 'Quick Search', 'text': ""Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn."", 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-40,Lumineon V,Pokémon,"['Basic', 'V']",170,['Water'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Aqua Return', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '120', 'text': 'Shuffle this Pokémon and all attached cards into your deck.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",40,takuyoa,Rare Holo V,[457],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/40.png', 'large': 'https://images.pokemontcg.io/swsh9/40_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-40', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 2.75, 'mid': 5.25, 'high': 89.0, 'market': 6.1, 'directLow': 5.6}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-40', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 3.13, 'lowPrice': 1.99, 'trendPrice': 3.29, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.99, 'avg1': 3.27, 'avg7': 3.18, 'avg30': 3.17, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Luminous Sign', 'text': 'When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.', 'type': 'Ability'}]",,,
