id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swshp-SWSH194,Leafeon V,Pokémon,"['Basic', 'V']",210,['Grass'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Leaf Guard', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}, {'name': 'Slashing Strike', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '180', 'text': ""During your next turn, this Pokémon can't use Slashing Strike.""}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swshp', 'name': 'SWSH Black Star Promos', 'series': 'Sword & Shield', 'printedTotal': 307, 'total': 304, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SW', 'releaseDate': '2019/11/15', 'updatedAt': '2022/07/23 20:15:00', 'images': {'symbol': 'https://images.pokemontcg.io/swshp/symbol.png', 'logo': 'https://images.pokemontcg.io/swshp/logo.png'}}",SWSH194,PLANETA Yamashita,Promo,[470],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swshp/SWSH194.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH194_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swshp-SWSH194', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.48, 'mid': 1.0, 'high': 89.0, 'market': 0.9, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swshp-SWSH194', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.85, 'lowPrice': 0.95, 'trendPrice': 2.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.95, 'avg1': 2.7, 'avg7': 1.79, 'avg30': 1.79, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
swshp-SWSH195,Leafeon VSTAR,Pokémon,['VSTAR'],260,['Grass'],"['VSTAR rule: When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Leaf Guard', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '180', 'text': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swshp', 'name': 'SWSH Black Star Promos', 'series': 'Sword & Shield', 'printedTotal': 307, 'total': 304, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SW', 'releaseDate': '2019/11/15', 'updatedAt': '2022/07/23 20:15:00', 'images': {'symbol': 'https://images.pokemontcg.io/swshp/symbol.png', 'logo': 'https://images.pokemontcg.io/swshp/logo.png'}}",SWSH195,5ban Graphics,Promo,[470],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swshp/SWSH195.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH195_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swshp-SWSH195', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.74, 'mid': 1.25, 'high': 89.0, 'market': 1.26, 'directLow': 1.06}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swshp-SWSH195', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.24, 'lowPrice': 1.2, 'trendPrice': 2.36, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.2, 'avg1': 2.23, 'avg7': 2.09, 'avg30': 2.17, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Leafeon V,"[{'name': 'Ivy Star', 'text': ""During your turn, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon. (You can't use more than 1 VSTAR Power in a game.)"", 'type': 'Ability'}]",,,
swsh9-1,Exeggcute,Pokémon,['Basic'],50,['Grass'],,"[{'name': 'Ram', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Seed Bomb', 'cost': ['Grass', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",1,0313,Common,[102],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/1.png', 'large': 'https://images.pokemontcg.io/swsh9/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-1', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 1.5, 'market': 0.03, 'directLow': 0.01}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 1.21, 'market': 0.12, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-1', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.17, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.05, 'avg30': 0.03, 'reverseHoloAvg1': 0.15, 'reverseHoloAvg7': 0.18, 'reverseHoloAvg30': 0.15}}",,,['Exeggutor'],"Though it may look like it's just a bunch of eggs, it's a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",
swsh9-2,Exeggutor,Pokémon,['Stage 1'],140,['Grass'],,"[{'name': 'Mega Drain', 'cost': ['Grass', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Heal 30 damage from this Pokémon.'}, {'name': 'Seed Bomb', 'cost': ['Grass', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '130', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",2,Naoyo Kimura,Uncommon,[103],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/2.png', 'large': 'https://images.pokemontcg.io/swsh9/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-2', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.18, 'market': 0.08, 'directLow': 0.01}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': 0.05}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-2', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.06, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.15, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.06, 'avg30': 0.04, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.17, 'reverseHoloAvg30': 0.16}}",Exeggcute,,,Each of Exeggutor's three heads is thinking different thoughts. The three don't seem to be very interested in one another.,
sv3-164,Pidgeot ex,Pokémon,"['Stage 2', 'ex']",280,['Colorless'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Blustery Wind', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '120', 'text': 'You may discard a Stadium in play.'}]","[{'type': 'Lightning', 'value': '×2'}]",,,"{'id': 'sv3', 'name': 'Obsidian Flames', 'series': 'Scarlet & Violet', 'printedTotal': 197, 'total': 230, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2023/08/11', 'updatedAt': '2023/08/11 15:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/sv3/symbol.png', 'logo': 'https://images.pokemontcg.io/sv3/logo.png'}}",164,takuyoa,Double Rare,[18],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/sv3/164.png', 'large': 'https://images.pokemontcg.io/sv3/164_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-164', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 2.42, 'mid': 4.55, 'high': 14.99, 'market': 3.6, 'directLow': 4.79}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sv3-164', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 5.95, 'lowPrice': 3.0, 'trendPrice': 5.2, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 3.0, 'avg1': 4.75, 'avg7': 5.34, 'avg30': 5.83, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Pidgeotto,"[{'name': 'Quick Search', 'text': ""Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn."", 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-3,Shroomish,Pokémon,['Basic'],50,['Grass'],,"[{'name': 'Headbutt', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",3,Shigenori Negishi,Common,[285],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/3.png', 'large': 'https://images.pokemontcg.io/swsh9/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-3', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 12.0, 'market': 0.13, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 2.0, 'market': 0.06, 'directLow': 0.01}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-3', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.02, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.12, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.12, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.17, 'reverseHoloAvg30': 0.15}}",,,['Breloom'],It spouts poison spores from the top of its head. These spores cause pain all over if inhaled.,
swsh9-4,Breloom,Pokémon,['Stage 1'],110,['Grass'],,"[{'name': 'Spore Ball', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ""Your opponent's Active Pokémon is now Asleep.""}, {'name': 'Powdery Uppercut', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '130', 'text': 'You can use this attack only if this Pokémon used Spore Ball during your last turn.'}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",4,Sekio,Rare,[286],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/4.png', 'large': 'https://images.pokemontcg.io/swsh9/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-4', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.15, 'high': 3.3, 'market': 0.15, 'directLow': 0.11}, 'normal': {'low': 0.01, 'mid': 0.14, 'high': 5.01, 'market': 0.1, 'directLow': 0.06}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-4', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.07, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.18, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.22, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.07, 'avg30': 0.08, 'reverseHoloAvg1': 0.11, 'reverseHoloAvg7': 0.24, 'reverseHoloAvg30': 0.2}}",Shroomish,,,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.,
swsh10-46,Radiant Greninja,Pokémon,"['Basic', 'Radiant']",130,['Water'],"[""Radiant Pokémon Rule: You can't have more than 1 Radiant Pokémon in your deck.""]","[{'name': 'Moonlight Shuriken', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': ""Discard 2 Energy from this Pokémon. This attack does 90 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh10', 'name': 'Astral Radiance', 'series': 'Sword & Shield', 'printedTotal': 189, 'total': 216, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'ASR', 'releaseDate': '2022/05/27', 'updatedAt': '2022/05/27 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh10/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh10/logo.png'}}",46,Souichirou Gunjima,Radiant Rare,[658],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh10/46.png', 'large': 'https://images.pokemontcg.io/swsh10/46_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh10-46', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 4.0, 'mid': 6.0, 'high': 15.0, 'market': 5.79, 'directLow': 6.82}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh10-46', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 4.51, 'lowPrice': 2.5, 'trendPrice': 4.21, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 2.5, 'avg1': 4.08, 'avg7': 4.26, 'avg30': 4.44, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Concealed Cards', 'text': 'You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.', 'type': 'Ability'}]",,"It appears and vanishes with a ninja's grace. It toys with its enemies using swift movements, while slicing them with throwing stars of sharpest water.",
swsh11-58,Rotom V,Pokémon,"['Basic', 'V']",190,['Lightning'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Scrap Short', 'cost': ['Lightning', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '40+', 'text': 'Put any number of Pokémon Tool cards from your discard pile in the Lost Zone. This attack does 40 more damage for each card you put in the Lost Zone in this way.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh11', 'name': 'Lost Origin', 'series': 'Sword & Shield', 'printedTotal': 196, 'total': 217, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'LOR', 'releaseDate': '2022/09/09', 'updatedAt': '2022/09/09 13:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh11/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh11/logo.png'}}",58,5ban Graphics,Rare Holo V,[479],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh11/58.png', 'large': 'https://images.pokemontcg.io/swsh11/58_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh11-58', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 1.0, 'mid': 3.0, 'high': 14.99, 'market': 2.95, 'directLow': 3.41}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh11-58', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 3.62, 'lowPrice': 0.7, 'trendPrice': 3.81, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.5, 'avg1': 3.09, 'avg7': 3.92, 'avg30': 3.61, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Instant Charge', 'text': 'Once during your turn, you may draw 3 cards. If you use this Ability, your turn ends.', 'type': 'Ability'}]",,,
swsh9-5,Tropius,Pokémon,['Basic'],110,['Grass'],,"[{'name': 'Slicing Blade', 'cost': ['Grass', 'Grass', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '100', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",5,Shin Nagasawa,Uncommon,[357],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/5.png', 'large': 'https://images.pokemontcg.io/swsh9/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-5', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.2, 'high': 2.0, 'market': 0.2, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.27, 'market': 0.08, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-5', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.17, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.04, 'avg30': 0.03, 'reverseHoloAvg1': 0.08, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.15}}",,"[{'name': 'Curative Bower', 'text': ""All of your Pokémon that have Grass Energy attached can't be Confused, and if they are already Confused, they recover from that Special Condition."", 'type': 'Ability'}]",,"Bunches of delicious fruit grow around its neck. In warm areas, many ranches raise Tropius.",
