id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swsh9-96,Aggron V,Pokémon,"['Basic', 'V']",230,['Metal'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Rock Slide', 'cost': ['Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '90', 'text': ""This attack also does 30 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {'name': 'Merciless Strike', 'cost': ['Metal', 'Colorless', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 5, 'damage': '150+', 'text': ""If your opponent's Active Pokémon already has any damage counters on it, this attack does 150 more damage.""}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",96,PLANETA Mochizuki,Rare Holo V,[306],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/96.png', 'large': 'https://images.pokemontcg.io/swsh9/96_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-96', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.25, 'mid': 0.75, 'high': 89.0, 'market': 0.67, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-96', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.89, 'lowPrice': 0.15, 'trendPrice': 0.99, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.38, 'avg1': 0.95, 'avg7': 1.02, 'avg30': 0.91, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,"[{'type': 'Grass', 'value': '-30'}]"
swsh9-97,Aggron VMAX,Pokémon,['VMAX'],330,['Metal'],"['VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.']","[{'name': 'Cracking Stomp', 'cost': ['Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '150', 'text': ""Discard the top card of your opponent's deck.""}, {'name': 'Max Take Down', 'cost': ['Metal', 'Metal', 'Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 5, 'damage': '270', 'text': 'This Pokémon also does 30 damage to itself.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",97,5ban Graphics,Rare Holo VMAX,[306],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/97.png', 'large': 'https://images.pokemontcg.io/swsh9/97_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-97', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.8, 'mid': 1.78, 'high': 9.95, 'market': 1.77, 'directLow': 2.23}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-97', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.5, 'lowPrice': 0.3, 'trendPrice': 1.77, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.7, 'avg1': 1.34, 'avg7': 1.6, 'avg30': 1.55, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Aggron V,,,,"[{'type': 'Grass', 'value': '-30'}]"
swsh9-98,Wormadam,Pokémon,['Stage 1'],110,['Metal'],,"[{'name': ""Matron's Anger"", 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30+', 'text': 'This attack does 10 more damage for each Pokémon in your discard pile.'}, {'name': 'Scrap Drop', 'cost': ['Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '90', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",98,Ryo Ueda,Rare,[413],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/98.png', 'large': 'https://images.pokemontcg.io/swsh9/98_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-98', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.19, 'high': 2.0, 'market': 0.11, 'directLow': 0.09}, 'normal': {'low': 0.02, 'mid': 0.12, 'high': 11.5, 'market': 0.1, 'directLow': 0.07}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-98', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.09, 'lowPrice': 0.02, 'trendPrice': 0.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.24, 'lowPriceExPlus': 0.02, 'avg1': 0.1, 'avg7': 0.11, 'avg30': 0.09, 'reverseHoloAvg1': 0.08, 'reverseHoloAvg7': 0.16, 'reverseHoloAvg30': 0.16}}",Burmy,,,"When Burmy evolved, its cloak became a part of this Pokémon's body. The cloak is never shed.","[{'type': 'Grass', 'value': '-30'}]"
swsh9-99,Probopass,Pokémon,['Stage 1'],140,['Metal'],,"[{'name': 'Magnetic Tension', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '', 'text': ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. This attack does 40 damage to the new Active Pokémon.""}, {'name': 'Iron Tackle', 'cost': ['Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '120', 'text': 'This Pokémon also does 20 damage to itself.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",99,Pani Kobayashi,Uncommon,[476],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/99.png', 'large': 'https://images.pokemontcg.io/swsh9/99_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-99', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 2.0, 'market': 0.14, 'directLow': 0.06}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.27, 'market': 0.05, 'directLow': 0.03}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-99', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.06, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.14, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.22, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.05, 'avg30': 0.04, 'reverseHoloAvg1': 0.54, 'reverseHoloAvg7': 0.26, 'reverseHoloAvg30': 0.15}}",Nosepass,,,It uses three small units to catch prey and battle enemies. The main body mostly just gives orders.,"[{'type': 'Grass', 'value': '-30'}]"
swsh11-58,Rotom V,Pokémon,"['Basic', 'V']",190,['Lightning'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Scrap Short', 'cost': ['Lightning', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '40+', 'text': 'Put any number of Pokémon Tool cards from your discard pile in the Lost Zone. This attack does 40 more damage for each card you put in the Lost Zone in this way.'}]","[{'type': 'Fighting', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh11', 'name': 'Lost Origin', 'series': 'Sword & Shield', 'printedTotal': 196, 'total': 217, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'LOR', 'releaseDate': '2022/09/09', 'updatedAt': '2022/09/09 13:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh11/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh11/logo.png'}}",58,5ban Graphics,Rare Holo V,[479],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh11/58.png', 'large': 'https://images.pokemontcg.io/swsh11/58_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh11-58', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 1.0, 'mid': 3.0, 'high': 14.99, 'market': 2.95, 'directLow': 3.41}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh11-58', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 3.62, 'lowPrice': 0.7, 'trendPrice': 3.81, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.5, 'avg1': 3.09, 'avg7': 3.92, 'avg30': 3.61, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Instant Charge', 'text': 'Once during your turn, you may draw 3 cards. If you use this Ability, your turn ends.', 'type': 'Ability'}]",,,
swsh9-100,Heatran,Pokémon,['Basic'],140,['Metal'],,"[{'name': 'Guard Claw', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}, {'name': 'Iron Hammer', 'cost': ['Metal', 'Metal', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '80+', 'text': 'If this Pokémon has any Fire Energy attached, this attack does 80 more damage.'}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",100,Yuya Oka,Rare,[485],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/100.png', 'large': 'https://images.pokemontcg.io/swsh9/100_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-100', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.2, 'high': 3.3, 'market': 0.13, 'directLow': 0.1}, 'normal': {'low': 0.04, 'mid': 0.15, 'high': 11.5, 'market': 0.1, 'directLow': 0.07}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-100', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.12, 'lowPrice': 0.02, 'trendPrice': 0.13, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.25, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.25, 'lowPriceExPlus': 0.02, 'avg1': 0.11, 'avg7': 0.15, 'avg30': 0.11, 'reverseHoloAvg1': 0.08, 'reverseHoloAvg7': 0.23, 'reverseHoloAvg30': 0.23}}",,,,"Boiling blood, like magma, circulates through its body. It makes its dwelling place in volcanic caves.","[{'type': 'Grass', 'value': '-30'}]"
swsh9-101,Escavalier,Pokémon,['Stage 1'],120,['Metal'],,"[{'name': 'Pike', 'cost': ['Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '90', 'text': ""This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Fire', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",101,Nurikabe,Rare,[589],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/101.png', 'large': 'https://images.pokemontcg.io/swsh9/101_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-101', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.12, 'high': 5.01, 'market': 0.07, 'directLow': 0.06}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.19, 'high': 89.0, 'market': 0.19, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-101', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.09, 'lowPrice': 0.02, 'trendPrice': 0.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.21, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.3, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.14, 'avg30': 0.09, 'reverseHoloAvg1': 0.73, 'reverseHoloAvg7': 0.23, 'reverseHoloAvg30': 0.19}}",Karrablast,"[{'name': 'Miraculous Armor', 'text': ""This Pokémon takes 100 less damage from attacks from your opponent's Pokémon V (after applying Weakness and Resistance)."", 'type': 'Ability'}]",,They use shells they've stolen from Shelmet to arm and protect themselves. They're very popular Pokémon in the Galar region.,"[{'type': 'Grass', 'value': '-30'}]"
sv3pt5-205,Mew ex,Pokémon,"['Basic', 'ex']",180,['Psychic'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Genome Hacking', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '', 'text': ""Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.""}]","[{'type': 'Darkness', 'value': '×2'}]",,,"{'id': 'sv3pt5', 'name': '151', 'series': 'Scarlet & Violet', 'printedTotal': 165, 'total': 207, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'releaseDate': '2023/09/22', 'updatedAt': '2023/09/22 15:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/sv3pt5/symbol.png', 'logo': 'https://images.pokemontcg.io/sv3pt5/logo.png'}}",205,aky CG Works,Hyper Rare,[151],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/sv3pt5/205.png', 'large': 'https://images.pokemontcg.io/sv3pt5/205_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3pt5-205', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 9.72, 'mid': 13.45, 'high': 39.99, 'market': 13.34, 'directLow': 14.0}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/sv3pt5-205', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 12.8, 'lowPrice': 9.0, 'trendPrice': 13.17, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 9.5, 'avg1': 12.94, 'avg7': 12.53, 'avg30': 12.83, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Restart', 'text': 'Once during your turn, you may draw cards until you have 3 cards in your hand.', 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-102,Klink,Pokémon,['Basic'],50,['Metal'],,"[{'name': 'Vise Grip', 'cost': ['Metal'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Spinning Attack', 'cost': ['Metal', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20', 'text': ''}]","[{'type': 'Fire', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",102,OKACHEKE,Common,[599],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/102.png', 'large': 'https://images.pokemontcg.io/swsh9/102_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-102', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.06, 'high': 1.18, 'market': 0.03, 'directLow': 0.01}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.15, 'high': 2.0, 'market': 0.12, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-102', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.02, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.12, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.13, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.14, 'reverseHoloAvg7': 0.13, 'reverseHoloAvg30': 0.12}}",,,['Klang'],The two minigears that compose this Pokémon are closer than twins. They mesh well only with each other.,"[{'type': 'Grass', 'value': '-30'}]"
swsh9-40,Lumineon V,Pokémon,"['Basic', 'V']",170,['Water'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Aqua Return', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '120', 'text': 'Shuffle this Pokémon and all attached cards into your deck.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",40,takuyoa,Rare Holo V,[457],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/40.png', 'large': 'https://images.pokemontcg.io/swsh9/40_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-40', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 2.75, 'mid': 5.25, 'high': 89.0, 'market': 6.1, 'directLow': 5.6}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-40', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 3.13, 'lowPrice': 1.99, 'trendPrice': 3.29, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.99, 'avg1': 3.27, 'avg7': 3.18, 'avg30': 3.17, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Luminous Sign', 'text': 'When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.', 'type': 'Ability'}]",,,
