id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swsh9-53,Clefairy,Pokémon,['Basic'],60,['Psychic'],,"[{'name': 'Pound', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Magical Shot', 'cost': ['Psychic', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}]","[{'type': 'Metal', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",53,Yukiko Baba,Common,[35],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/53.png', 'large': 'https://images.pokemontcg.io/swsh9/53_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-53', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.15, 'high': 2.0, 'market': 0.12, 'directLow': 0.09}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 2.03, 'market': 0.03, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-53', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.02, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.13, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.09, 'avg7': 0.04, 'avg30': 0.02, 'reverseHoloAvg1': 0.1, 'reverseHoloAvg7': 0.16, 'reverseHoloAvg30': 0.13}}",,,['Clefable'],It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,
swsh9-54,Clefable,Pokémon,['Stage 1'],100,['Psychic'],,"[{'name': 'Moonlit Miracle', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip 3 coins. Choose a number of your Pokémon in play up to the number of heads. For each of those Pokémon, search your deck for a card that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck.'}, {'name': 'Magical Shot', 'cost': ['Psychic', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '90', 'text': ''}]","[{'type': 'Metal', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",54,Mizue,Rare,[36],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/54.png', 'large': 'https://images.pokemontcg.io/swsh9/54_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-54', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.13, 'high': 4.0, 'market': 0.12, 'directLow': None}, 'reverseHolofoil': {'low': 0.07, 'mid': 0.19, 'high': 3.3, 'market': 0.19, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-54', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.07, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.18, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.28, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.05, 'avg30': 0.07, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.27, 'reverseHoloAvg30': 0.18}}",Clefairy,,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",
swsh9-55,Starmie,Pokémon,['Stage 1'],90,['Psychic'],,"[{'name': 'Psychic', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': ""This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.""}, {'name': 'Power Gem', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '60', 'text': ''}]","[{'type': 'Darkness', 'value': '×2'}]",,,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",55,Akira Komayama,Uncommon,[121],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/55.png', 'large': 'https://images.pokemontcg.io/swsh9/55_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-55', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.27, 'market': 0.07, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 15.0, 'market': 0.15, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-55', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.24, 'lowPriceExPlus': 0.02, 'avg1': 0.08, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.2, 'reverseHoloAvg7': 0.19, 'reverseHoloAvg30': 0.16}}",Staryu,,,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-56,Mewtwo,Pokémon,['Basic'],130,['Psychic'],,"[{'name': 'Life Sucker', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Heal 20 damage from this Pokémon.'}, {'name': 'Psyburn', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '110', 'text': ''}]","[{'type': 'Darkness', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",56,Anesaki Dynamic,Rare,[150],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/56.png', 'large': 'https://images.pokemontcg.io/swsh9/56_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-56', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.18, 'high': 5.01, 'market': 0.15, 'directLow': 0.07}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.25, 'high': 89.0, 'market': 0.23, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-56', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.19, 'lowPrice': 0.02, 'trendPrice': 0.16, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.33, 'reverseHoloLow': 0.05, 'reverseHoloTrend': 0.35, 'lowPriceExPlus': 0.02, 'avg1': 0.15, 'avg7': 0.14, 'avg30': 0.19, 'reverseHoloAvg1': 0.41, 'reverseHoloAvg7': 0.4, 'reverseHoloAvg30': 0.33}}",,,,A Pokémon created by recombining Mew's genes. It's said to have the most savage heart among Pokémon.,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-57,Granbull V,Pokémon,"['Basic', 'V']",210,['Psychic'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Chomp', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30+', 'text': 'This attack does 10 more damage for each damage counter on this Pokémon.'}, {'name': 'Bull Dash', 'cost': ['Psychic', 'Psychic', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '190', 'text': 'This Pokémon also does 30 damage to itself.'}]","[{'type': 'Metal', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",57,PLANETA Mochizuki,Rare Holo V,[210],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/57.png', 'large': 'https://images.pokemontcg.io/swsh9/57_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-57', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.1, 'mid': 0.69, 'high': 89.0, 'market': 0.43, 'directLow': 0.39}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-57', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.66, 'lowPrice': 0.15, 'trendPrice': 0.79, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.2, 'avg1': 0.79, 'avg7': 0.79, 'avg30': 0.67, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
swsh9-58,Baltoy,Pokémon,['Basic'],50,['Psychic'],,"[{'name': 'Triple Spin', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20×', 'text': 'Flip 3 coins. This attack does 20 damage for each heads.'}]","[{'type': 'Darkness', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",58,Kyoko Umemoto,Common,[343],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/58.png', 'large': 'https://images.pokemontcg.io/swsh9/58_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-58', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.14, 'high': 2.0, 'market': 0.11, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.06, 'high': 1.27, 'market': 0.02, 'directLow': 0.01}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-58', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.02, 'lowPrice': 0.02, 'trendPrice': 0.02, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.1, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.15, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.02, 'avg30': 0.02, 'reverseHoloAvg1': 0.02, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.11}}",,,['Claydol'],It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-59,Claydol,Pokémon,['Stage 1'],110,['Psychic'],,"[{'name': 'Spinning Attack', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '40', 'text': ''}, {'name': 'Coinciding Figures', 'cost': ['Psychic', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '90+', 'text': 'If you and your opponent have the same number of Benched Pokémon, this attack does 90 more damage.'}]","[{'type': 'Darkness', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",59,Kazuma Koda,Uncommon,[344],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/59.png', 'large': 'https://images.pokemontcg.io/swsh9/59_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-59', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 1.27, 'market': 0.06, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.17, 'high': 2.0, 'market': 0.17, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-59', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.13, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.18, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.03, 'avg30': 0.02, 'reverseHoloAvg1': 0.02, 'reverseHoloAvg7': 0.19, 'reverseHoloAvg30': 0.14}}",Baltoy,,,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-60,Duskull,Pokémon,['Basic'],60,['Psychic'],,"[{'name': 'Perplex', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ""Flip a coin. If heads, your opponent's Active Pokémon is now Confused.""}]","[{'type': 'Darkness', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",60,SATOSHI NAKAI,Common,[355],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/60.png', 'large': 'https://images.pokemontcg.io/swsh9/60_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-60', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.04, 'mid': 0.25, 'high': 20.23, 'market': 0.37, 'directLow': 0.2}, 'normal': {'low': 0.02, 'mid': 0.12, 'high': 11.5, 'market': 0.1, 'directLow': 0.02}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-60', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.06, 'lowPrice': 0.02, 'trendPrice': 0.07, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.21, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.18, 'lowPriceExPlus': 0.02, 'avg1': 0.12, 'avg7': 0.07, 'avg30': 0.06, 'reverseHoloAvg1': 0.06, 'reverseHoloAvg7': 0.19, 'reverseHoloAvg30': 0.22}}",,,['Dusclops'],"If it finds bad children who won't listen to their parents, it will spirit them away—or so it's said.","[{'type': 'Fighting', 'value': '-30'}]"
swsh9-61,Dusclops,Pokémon,['Stage 1'],90,['Psychic'],,"[{'name': 'Fade to Black', 'cost': ['Psychic'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ""Your opponent's Active Pokémon is now Confused.""}]","[{'type': 'Darkness', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",61,miki kudo,Uncommon,[356],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/61.png', 'large': 'https://images.pokemontcg.io/swsh9/61_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-61', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.27, 'market': 0.06, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 2.0, 'market': 0.13, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-61', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.14, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.2, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.05, 'avg30': 0.03, 'reverseHoloAvg1': 0.14, 'reverseHoloAvg7': 0.19, 'reverseHoloAvg30': 0.17}}",Duskull,,['Dusknoir'],"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole.","[{'type': 'Fighting', 'value': '-30'}]"
svp-160,Squawkabilly ex,Pokémon,"['Basic', 'ex']",160,['Colorless'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Motivate', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Attach up to 2 Basic Energy cards from your discard pile to 1 of your Benched Pokémon.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'svp', 'name': 'Scarlet & Violet Black Star Promos', 'series': 'Scarlet & Violet', 'printedTotal': 165, 'total': 165, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SV', 'releaseDate': '2023/01/01', 'updatedAt': '2024/11/09 13:20:00', 'images': {'symbol': 'https://images.pokemontcg.io/svp/symbol.png', 'logo': 'https://images.pokemontcg.io/svp/logo.png'}}",160,,Promo,[931],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/svp/160.png', 'large': 'https://images.pokemontcg.io/svp/160_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/svp-160', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.99, 'mid': 1.99, 'high': 3.49, 'market': 1.94, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/svp-160', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.37, 'lowPrice': 1.39, 'trendPrice': 2.42, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.39, 'avg1': 2.0, 'avg7': 2.38, 'avg30': 2.35, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Squawk and Seize', 'text': ""Once during your first turn, you may discard your hand and draw 6 cards. You can't use more than 1 Squawk and Seize Ability during your turn."", 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
