id,name,supertype,subtypes,hp,types,rules,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,regulationMark,images,tcgplayer,cardmarket,evolvesFrom,abilities,evolvesTo,flavorText,resistances
swshp-SWSH196,Glaceon V,Pokémon,"['Basic', 'V']",210,['Water'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Frost Charge', 'cost': ['Water'], 'convertedEnergyCost': 1, 'damage': '30', 'text': 'Search your deck for a Water Energy card and attach it to this Pokémon. Then, shuffle your deck.'}, {'name': 'Freezing Wind', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '130', 'text': ''}]","[{'type': 'Metal', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swshp', 'name': 'SWSH Black Star Promos', 'series': 'Sword & Shield', 'printedTotal': 307, 'total': 304, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SW', 'releaseDate': '2019/11/15', 'updatedAt': '2022/07/23 20:15:00', 'images': {'symbol': 'https://images.pokemontcg.io/swshp/symbol.png', 'logo': 'https://images.pokemontcg.io/swshp/logo.png'}}",SWSH196,PLANETA Yamashita,Promo,[471],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swshp/SWSH196.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH196_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swshp-SWSH196', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.49, 'mid': 1.0, 'high': 89.0, 'market': 0.97, 'directLow': 1.0}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swshp-SWSH196', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.93, 'lowPrice': 0.98, 'trendPrice': 2.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.98, 'avg1': 1.33, 'avg7': 2.04, 'avg30': 1.89, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
swshp-SWSH197,Glaceon VSTAR,Pokémon,['VSTAR'],260,['Water'],"['VSTAR rule: When your Pokémon VSTAR is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Icicle Shot', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '180', 'text': ""During your opponent's next turn, the Defending Pokémon can't retreat.""}, {'name': 'Crystal Star', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '220', 'text': ""During your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. (You can't use more than 1 VSTAR Power in a game.)""}]","[{'type': 'Metal', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swshp', 'name': 'SWSH Black Star Promos', 'series': 'Sword & Shield', 'printedTotal': 307, 'total': 304, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SW', 'releaseDate': '2019/11/15', 'updatedAt': '2022/07/23 20:15:00', 'images': {'symbol': 'https://images.pokemontcg.io/swshp/symbol.png', 'logo': 'https://images.pokemontcg.io/swshp/logo.png'}}",SWSH197,5ban Graphics,Promo,[471],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swshp/SWSH197.png', 'large': 'https://images.pokemontcg.io/swshp/SWSH197_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swshp-SWSH197', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.74, 'mid': 1.88, 'high': 89.0, 'market': 1.71, 'directLow': 2.22}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swshp-SWSH197', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.62, 'lowPrice': 0.99, 'trendPrice': 2.39, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.99, 'avg1': 2.27, 'avg7': 2.46, 'avg30': 2.68, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Glaceon V,,,,
swsh9-28,Kingler V,Pokémon,"['Basic', 'V']",220,['Water'],"['V rule: When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Falling Bubbles', 'cost': ['Water'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, search your deck for up to 5 Water Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.'}, {'name': 'Raging Pincer', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '200', 'text': 'This Pokémon also does 30 damage to itself.'}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",28,PLANETA Mochizuki,Rare Holo V,[99],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/28.png', 'large': 'https://images.pokemontcg.io/swsh9/28_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-28', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.25, 'mid': 0.68, 'high': 89.0, 'market': 0.67, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-28', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.98, 'lowPrice': 0.27, 'trendPrice': 1.07, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.3, 'avg1': 0.5, 'avg7': 1.08, 'avg30': 1.0, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,,
swsh9-29,Kingler VMAX,Pokémon,['VMAX'],330,['Water'],"['VMAX rule: When your Pokémon VMAX is Knocked Out, your opponent takes 3 Prize cards.']","[{'name': 'Bubbles Galore', 'cost': ['Water'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for up to 5 Water Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.'}, {'name': 'G-Max Pincer', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '240', 'text': 'This Pokémon also does 30 damage to itself.'}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",29,5ban Graphics,Rare Holo VMAX,[99],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/29.png', 'large': 'https://images.pokemontcg.io/swsh9/29_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-29', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.7, 'mid': 1.49, 'high': 9999.99, 'market': 1.22, 'directLow': 1.7}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-29', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.57, 'lowPrice': 0.5, 'trendPrice': 1.68, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 0.8, 'avg1': 1.35, 'avg7': 1.7, 'avg30': 1.56, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",Kingler V,,,,
swsh9-30,Staryu,Pokémon,['Basic'],60,['Water'],,"[{'name': 'Double Spin', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10×', 'text': 'Flip 2 coins. This attack does 10 damage for each heads.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",30,Yuka Morii,Common,[120],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/30.png', 'large': 'https://images.pokemontcg.io/swsh9/30_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-30', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 2.04, 'market': 0.07, 'directLow': None}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.16, 'high': 1.32, 'market': 0.19, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-30', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.18, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.21, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.09, 'reverseHoloAvg7': 0.17, 'reverseHoloAvg30': 0.18}}",,,['Starmie'],"If you visit a beach at the end of summer, you'll be able to see groups of Staryu lighting up in a steady rhythm.",
swsh9-31,Lapras,Pokémon,['Basic'],130,['Water'],,"[{'name': 'Raging Freeze', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '110', 'text': ""If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, your opponent's Active Pokémon is now Paralyzed.""}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",31,Teeziro,Rare,[131],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/31.png', 'large': 'https://images.pokemontcg.io/swsh9/31_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-31', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.21, 'high': 3.3, 'market': 0.24, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.13, 'high': 4.0, 'market': 0.12, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-31', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.13, 'lowPrice': 0.02, 'trendPrice': 0.12, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.25, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.33, 'lowPriceExPlus': 0.02, 'avg1': 0.08, 'avg7': 0.12, 'avg30': 0.12, 'reverseHoloAvg1': 0.27, 'reverseHoloAvg7': 0.28, 'reverseHoloAvg30': 0.26}}",,,,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",
swsh9-32,Corphish,Pokémon,['Basic'],70,['Water'],,"[{'name': 'Water Gun', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ''}, {'name': 'Crabhammer', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",32,Sekio,Common,[341],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/32.png', 'large': 'https://images.pokemontcg.io/swsh9/32_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-32', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 2.02, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 2.0, 'market': 0.1, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-32', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.03, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.15, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'reverseHoloAvg1': 0.1, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.13}}",,,['Crawdaunt'],"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.",
swsh9-33,Crawdaunt,Pokémon,['Stage 1'],130,['Water'],,"[{'name': 'Corkscrew Punch', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '30', 'text': ''}, {'name': 'Crab Impact', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '150', 'text': 'Discard 2 Energy from this Pokémon.'}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",33,Shibuzoh.,Uncommon,[342],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/33.png', 'large': 'https://images.pokemontcg.io/swsh9/33_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-33', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 2.0, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 2.0, 'market': 0.13, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-33', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.03, 'lowPrice': 0.02, 'trendPrice': 0.07, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.13, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.13, 'lowPriceExPlus': 0.02, 'avg1': 0.11, 'avg7': 0.06, 'avg30': 0.04, 'reverseHoloAvg1': 0.16, 'reverseHoloAvg7': 0.12, 'reverseHoloAvg30': 0.14}}",Corphish,,,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.,
svp-160,Squawkabilly ex,Pokémon,"['Basic', 'ex']",160,['Colorless'],"['Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.']","[{'name': 'Motivate', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Attach up to 2 Basic Energy cards from your discard pile to 1 of your Benched Pokémon.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'svp', 'name': 'Scarlet & Violet Black Star Promos', 'series': 'Scarlet & Violet', 'printedTotal': 165, 'total': 165, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PR-SV', 'releaseDate': '2023/01/01', 'updatedAt': '2024/11/09 13:20:00', 'images': {'symbol': 'https://images.pokemontcg.io/svp/symbol.png', 'logo': 'https://images.pokemontcg.io/svp/logo.png'}}",160,,Promo,[931],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",G,"{'small': 'https://images.pokemontcg.io/svp/160.png', 'large': 'https://images.pokemontcg.io/svp/160_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/svp-160', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.99, 'mid': 1.99, 'high': 3.49, 'market': 1.94, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/svp-160', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 2.37, 'lowPrice': 1.39, 'trendPrice': 2.42, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.39, 'avg1': 2.0, 'avg7': 2.38, 'avg30': 2.35, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,"[{'name': 'Squawk and Seize', 'text': ""Once during your first turn, you may discard your hand and draw 6 cards. You can't use more than 1 Squawk and Seize Ability during your turn."", 'type': 'Ability'}]",,,"[{'type': 'Fighting', 'value': '-30'}]"
swsh9-35,Piplup,Pokémon,['Basic'],60,['Water'],,"[{'name': 'Bubble', 'cost': ['Water'], 'convertedEnergyCost': 1, 'damage': '10', 'text': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",35,Atsushi Furusawa,Common,[393],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/35.png', 'large': 'https://images.pokemontcg.io/swsh9/35_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-35', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.2, 'high': 2.0, 'market': 0.19, 'directLow': 0.32}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 11.5, 'market': 0.11, 'directLow': 0.04}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-35', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.03, 'avg7': 0.04, 'avg30': 0.04, 'reverseHoloAvg1': 0.16, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.16}}",,,['Prinplup'],"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",
