id,name,supertype,subtypes,rules,set,number,artist,rarity,legalities,regulationMark,images,tcgplayer,cardmarket,abilities,attacks,flavorText,hp
swsh9-148,Roseanne's Backup,Trainer,['Supporter'],"['Choose 1 or more:\n• Shuffle a Pokémon from your discard pile into your deck.\n• Shuffle a Pokémon Tool card from your discard pile into your deck.\n• Shuffle a Stadium card from your discard pile into your deck.\n• Shuffle an Energy card from your discard pile into your deck.', 'You may play only 1 Supporter card during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",148,Nagomi Nijo,Uncommon,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/148.png', 'large': 'https://images.pokemontcg.io/swsh9/148_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-148', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.09, 'mid': 0.25, 'high': 2.95, 'market': 0.25, 'directLow': 0.2}, 'normal': {'low': 0.01, 'mid': 0.15, 'high': 1.95, 'market': 0.06, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-148', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.1, 'lowPrice': 0.02, 'trendPrice': 0.1, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.2, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.13, 'avg7': 0.12, 'avg30': 0.1, 'reverseHoloAvg1': 0.29, 'reverseHoloAvg7': 0.18, 'reverseHoloAvg30': 0.21}}",,,,
swsh9-169,Cynthia's Ambition,Trainer,['Supporter'],"[""Draw cards until you have 5 cards in your hand. If any of your Pokémon were Knocked Out during your opponent's last turn, draw cards until you have 8 cards in your hand instead."", 'You may play only 1 Supporter card during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",169,Megumi Mizutani,Rare Ultra,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/169.png', 'large': 'https://images.pokemontcg.io/swsh9/169_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-169', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 3.9, 'mid': 5.82, 'high': 99.95, 'market': 5.12, 'directLow': 5.66}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-169', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 5.27, 'lowPrice': 2.0, 'trendPrice': 5.66, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 3.0, 'avg1': 3.96, 'avg7': 4.97, 'avg30': 5.26, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,
swsh9-171,Marnie's Pride,Trainer,['Supporter'],"['Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.', 'You may play only 1 Supporter card during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",171,Souichirou Gunjima,Rare Ultra,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/171.png', 'large': 'https://images.pokemontcg.io/swsh9/171_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-171', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 6.0, 'mid': 8.75, 'high': 99.95, 'market': 8.54, 'directLow': 8.57}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-171', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 5.72, 'lowPrice': 3.5, 'trendPrice': 5.8, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 3.5, 'avg1': 4.72, 'avg7': 5.91, 'avg30': 5.73, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,
swsh9-137,Collapsed Stadium,Trainer,['Stadium'],"[""Each player can't have more than 4 Benched Pokémon. If a player has 5 or more Benched Pokémon, they discard Benched Pokémon until they have 4 Pokémon on the Bench. The player who played this card discards first. If more than one effect changes the number of Benched Pokémon allowed, use the smaller number.""]","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",137,Oswaldo KATO,Uncommon,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/137.png', 'large': 'https://images.pokemontcg.io/swsh9/137_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-137', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.05, 'mid': 0.2, 'high': 11.5, 'market': 0.15, 'directLow': 0.14}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.28, 'high': 11.5, 'market': 0.27, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-137', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.16, 'lowPrice': 0.02, 'trendPrice': 0.15, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.26, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.18, 'lowPriceExPlus': 0.02, 'avg1': 0.17, 'avg7': 0.15, 'avg30': 0.15, 'reverseHoloAvg1': 0.15, 'reverseHoloAvg7': 0.21, 'reverseHoloAvg30': 0.26}}",,,,
swsh9-139,Fresh Water Set,Trainer,['Item'],"['Heal 20 damage from each of your Pokémon.', 'You may play any number of Item cards during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",139,AYUMI ODASHIMA,Uncommon,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/139.png', 'large': 'https://images.pokemontcg.io/swsh9/139_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-139', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 11.5, 'market': 0.04, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 2.0, 'market': 0.12, 'directLow': 0.05}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-139', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.05, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.19, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.16, 'lowPriceExPlus': 0.02, 'avg1': 0.06, 'avg7': 0.05, 'avg30': 0.04, 'reverseHoloAvg1': 0.04, 'reverseHoloAvg7': 0.15, 'reverseHoloAvg30': 0.16}}",,,,
swsh9-143,Kindler,Trainer,['Supporter'],"['You can use this card only if you discard a Fire Energy card from your hand. Look at the top 7 cards of your deck and put up to 2 of them into your hand. Shuffle the other cards back into your deck.', 'You may play only 1 Supporter card during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",143,Hitoshi Ariga,Uncommon,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/143.png', 'large': 'https://images.pokemontcg.io/swsh9/143_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-143', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.16, 'high': 2.95, 'market': 0.15, 'directLow': 0.08}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 11.5, 'market': 0.05, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-143', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.04, 'lowPrice': 0.02, 'trendPrice': 0.05, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.13, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.15, 'lowPriceExPlus': 0.02, 'avg1': 0.05, 'avg7': 0.04, 'avg30': 0.04, 'reverseHoloAvg1': 0.24, 'reverseHoloAvg7': 0.14, 'reverseHoloAvg30': 0.14}}",,,,
swsh9-168,Cheren's Care,Trainer,['Supporter'],"['Put 1 of your Colorless Pokémon that has any damage counters on it and all attached cards into your hand.', 'You may play only 1 Supporter card during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",168,Ryuta Fuse,Rare Ultra,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/168.png', 'large': 'https://images.pokemontcg.io/swsh9/168_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-168', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 0.8, 'mid': 1.74, 'high': 9.99, 'market': 1.48, 'directLow': 1.86}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-168', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 1.89, 'lowPrice': 1.0, 'trendPrice': 1.9, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 1.0, 'avg1': 1.79, 'avg7': 1.91, 'avg30': 1.88, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,
swsh9-185,Magma Basin,Trainer,['Stadium'],"[""Once during each player's turn, that player may attach a Fire Energy card from their discard pile to 1 of their Benched Fire Pokémon. If a player attached Energy to a Pokémon in this way, put 2 damage counters on that Pokémon.""]","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",185,ORBITALLINK Inc.,Rare Secret,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/185.png', 'large': 'https://images.pokemontcg.io/swsh9/185_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-185', 'updatedAt': '2025/01/04', 'prices': {'holofoil': {'low': 2.99, 'mid': 4.75, 'high': 15.98, 'market': 4.34, 'directLow': 3.18}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-185', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 5.45, 'lowPrice': 3.0, 'trendPrice': 5.2, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.0, 'reverseHoloLow': 0.0, 'reverseHoloTrend': 0.0, 'lowPriceExPlus': 3.4, 'avg1': 4.39, 'avg7': 4.33, 'avg30': 5.29, 'reverseHoloAvg1': 0.0, 'reverseHoloAvg7': 0.0, 'reverseHoloAvg30': 0.0}}",,,,
swsh9-135,Choice Belt,Trainer,"['Item', 'Pokémon Tool']","[""The attacks of the Pokémon this card is attached to do 30 more damage to your opponent's Active Pokémon V (before applying Weakness and Resistance)."", 'You may play any number of Item cards during your turn.', ""Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached.""]","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",135,Studio Bora Inc.,Uncommon,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/135.png', 'large': 'https://images.pokemontcg.io/swsh9/135_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-135', 'updatedAt': '2025/01/04', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 11.5, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.2, 'high': 5.95, 'market': 0.17, 'directLow': None}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-135', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.06, 'lowPrice': 0.02, 'trendPrice': 0.04, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.16, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.19, 'lowPriceExPlus': 0.02, 'avg1': 0.02, 'avg7': 0.06, 'avg30': 0.06, 'reverseHoloAvg1': 0.44, 'reverseHoloAvg7': 0.2, 'reverseHoloAvg30': 0.15}}",,,,
swsh9-149,Team Yell's Cheer,Trainer,['Supporter'],"[""Shuffle up to 3 in any combination of Pokémon and Supporter cards, except for Team Yell's Cheer, from your discard pile into your deck."", 'You may play only 1 Supporter card during your turn.']","{'id': 'swsh9', 'name': 'Brilliant Stars', 'series': 'Sword & Shield', 'printedTotal': 172, 'total': 186, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'BRS', 'releaseDate': '2022/02/25', 'updatedAt': '2022/02/23 09:45:00', 'images': {'symbol': 'https://images.pokemontcg.io/swsh9/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh9/logo.png'}}",149,GOSSAN,Uncommon,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",F,"{'small': 'https://images.pokemontcg.io/swsh9/149.png', 'large': 'https://images.pokemontcg.io/swsh9/149_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-149', 'updatedAt': '2025/01/04', 'prices': {'reverseHolofoil': {'low': 0.06, 'mid': 0.2, 'high': 2.0, 'market': 0.19, 'directLow': 0.09}, 'normal': {'low': 0.01, 'mid': 0.11, 'high': 11.5, 'market': 0.07, 'directLow': 0.03}}}","{'url': 'https://prices.pokemontcg.io/cardmarket/swsh9-149', 'updatedAt': '2025/01/05', 'prices': {'averageSellPrice': 0.06, 'lowPrice': 0.02, 'trendPrice': 0.11, 'germanProLow': 0.0, 'suggestedPrice': 0.0, 'reverseHoloSell': 0.2, 'reverseHoloLow': 0.02, 'reverseHoloTrend': 0.25, 'lowPriceExPlus': 0.02, 'avg1': 0.21, 'avg7': 0.11, 'avg30': 0.07, 'reverseHoloAvg1': 0.55, 'reverseHoloAvg7': 0.28, 'reverseHoloAvg30': 0.22}}",,,,
