Deck Name,Card Name,Type
Tera Pagos,Hoothoot Temporal Forces 126,Pokemon
Tera Pagos,Hoothoot Temporal Forces 126,Pokemon
Tera Pagos,Hoothoot Temporal Forces 126,Pokemon
Tera Pagos,Noctowl Stellar Crown 115,Pokemon
Tera Pagos,Noctowl Stellar Crown 115,Pokemon
Tera Pagos,Noctowl Stellar Crown 115,Pokemon
Tera Pagos,Terapagos ex Stellar Crown 128,Pokemon
Tera Pagos,Terapagos ex Stellar Crown 128,Pokemon
Tera Pagos,Terapagos ex Stellar Crown 128,Pokemon
Tera Pagos,Duskull Brilliant Stars 60,Pokemon
Tera Pagos,Duskull Brilliant Stars 60,Pokemon
Tera Pagos,Dusclops Shrouded Fable 19,Pokemon
Tera Pagos,Dusknoir Shrouded Fable 20,Pokemon
Tera Pagos,Fan Rotom Stellar Crown 118,Pokemon
Tera Pagos,Fan Rotom Stellar Crown 118,Pokemon
Tera Pagos,Bouffalant Stellar Crown 119,Pokemon
Tera Pagos,Bouffalant Stellar Crown 119,Pokemon
Tera Pagos,Pidgey Obsidian Flames 162,Pokemon
Tera Pagos,Pidgeot ex Obsidian Flames 164,Pokemon
Tera Pagos,Regidrago V Silver Tempest 135,Pokemon
Tera Pagos,Regidrago VSTAR Silver Tempest 136,Pokemon
Tera Pagos,Fezandipiti ex Shrouded Fable 38,Pokemon
Tera Pagos,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Tera Pagos,Iono Paldea Evolved 185,Trainer
Tera Pagos,Iono Paldea Evolved 185,Trainer
Tera Pagos,Boss's Orders Paldea Evolved 172,Trainer
Tera Pagos,Briar Stellar Crown 132,Trainer
Tera Pagos,Thorton Lost Origin 167,Trainer
Tera Pagos,Professor's Research Scarlet & Violet 189,Trainer
Tera Pagos,Colress's Tenacity Shrouded Fable 57,Trainer
Tera Pagos,Nest Ball Scarlet & Violet 181,Trainer
Tera Pagos,Nest Ball Scarlet & Violet 181,Trainer
Tera Pagos,Nest Ball Scarlet & Violet 181,Trainer
Tera Pagos,Nest Ball Scarlet & Violet 181,Trainer
Tera Pagos,Ultra Ball Scarlet & Violet 196,Trainer
Tera Pagos,Ultra Ball Scarlet & Violet 196,Trainer
Tera Pagos,Ultra Ball Scarlet & Violet 196,Trainer
Tera Pagos,Ultra Ball Scarlet & Violet 196,Trainer
Tera Pagos,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Tera Pagos,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Tera Pagos,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Tera Pagos,Night Stretcher Shrouded Fable 61,Trainer
Tera Pagos,Night Stretcher Shrouded Fable 61,Trainer
Tera Pagos,Rare Candy Scarlet & Violet 191,Trainer
Tera Pagos,Rare Candy Scarlet & Violet 191,Trainer
Tera Pagos,Lost Vacuum Lost Origin 162,Trainer
Tera Pagos,Prime Catcher Temporal Forces 157,Trainer
Tera Pagos,Counter Catcher Paradox Rift 160,Trainer
Tera Pagos,Switch Scarlet & Violet 194,Trainer
Tera Pagos,Hisuian Heavy Ball Astral Radiance 146,Trainer
Tera Pagos,Feather Ball Astral Radiance 141,Trainer
Tera Pagos,Vitality Band Scarlet & Violet 197,Trainer
Tera Pagos,Technical Machine: Devolution Paradox Rift 177,Trainer
Tera Pagos,Area Zero Underdepths Stellar Crown 131,Trainer
Tera Pagos,Area Zero Underdepths Stellar Crown 131,Trainer
Tera Pagos,Area Zero Underdepths Stellar Crown 131,Trainer
Tera Pagos,Double Turbo Energy Brilliant Stars 151,Energy
Tera Pagos,Double Turbo Energy Brilliant Stars 151,Energy
Tera Pagos,Double Turbo Energy Brilliant Stars 151,Energy
Tera Pagos,Double Turbo Energy Brilliant Stars 151,Energy
Tera Pagos1,Hoothoot Stellar Crown 114,Pokemon
Tera Pagos1,Hoothoot Stellar Crown 114,Pokemon
Tera Pagos1,Hoothoot Stellar Crown 114,Pokemon
Tera Pagos1,Noctowl Stellar Crown 115,Pokemon
Tera Pagos1,Noctowl Stellar Crown 115,Pokemon
Tera Pagos1,Noctowl Stellar Crown 115,Pokemon
Tera Pagos1,Terapagos ex Stellar Crown 128,Pokemon
Tera Pagos1,Terapagos ex Stellar Crown 128,Pokemon
Tera Pagos1,Terapagos ex Stellar Crown 128,Pokemon
Tera Pagos1,Pidgey Obsidian Flames 162,Pokemon
Tera Pagos1,Pidgey Obsidian Flames 162,Pokemon
Tera Pagos1,Pidgeot ex Obsidian Flames 164,Pokemon
Tera Pagos1,Pidgeot ex Obsidian Flames 164,Pokemon
