Deck Name,Card Name,Type
Klawf,Terapagos ex Stellar Crown 128,Pokemon
Klawf,Terapagos ex Stellar Crown 128,Pokemon
Klawf,Klawf Paradox Rift 105,Pokemon
Klawf,Klawf Paradox Rift 105,Pokemon
Klawf,Brute Bonnet Paradox Rift 123,Pokemon
Klawf,Brute Bonnet Paradox Rift 123,Pokemon
Klawf,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Klawf,Hisuian Electrode V PR-SW 294,Pokemon
Klawf,Oranguru V Astral Radiance 133,Pokemon
Klawf,Latias ex Surging Sparks 76,Pokemon
Klawf,Fezandipiti ex Shrouded Fable 38,Pokemon
Klawf,Pecharunt ex Shrouded Fable 39,Pokemon
Klawf,Lumineon V Brilliant Stars 40,Pokemon
Klawf,Squawkabilly ex Paldea Evolved 169,Pokemon
Klawf,Radiant Hisuian Sneasler Lost Origin 123,Pokemon
Klawf,Regidrago Astral Radiance 118,Pokemon
Klawf,Iron Bundle Paradox Rift 56,Pokemon
Klawf,Pecharunt PR-SV 149,Pokemon
Klawf,Arven Obsidian Flames 186,Trainer
Klawf,Arven Obsidian Flames 186,Trainer
Klawf,Arven Obsidian Flames 186,Trainer
Klawf,Boss's Orders Paldea Evolved 172,Trainer
Klawf,Boss's Orders Paldea Evolved 172,Trainer
Klawf,Boss's Orders Paldea Evolved 172,Trainer
Klawf,Carmine Twilight Masquerade 145,Trainer
Klawf,Colress's Tenacity Shrouded Fable 57,Trainer
Klawf,Iono Paldea Evolved 185,Trainer
Klawf,Professor's Research Scarlet & Violet 189,Trainer
Klawf,Nest Ball Scarlet & Violet 181,Trainer
Klawf,Nest Ball Scarlet & Violet 181,Trainer
Klawf,Nest Ball Scarlet & Violet 181,Trainer
Klawf,Nest Ball Scarlet & Violet 181,Trainer
Klawf,Night Stretcher Shrouded Fable 61,Trainer
Klawf,Night Stretcher Shrouded Fable 61,Trainer
Klawf,Night Stretcher Shrouded Fable 61,Trainer
Klawf,Switch Cart Astral Radiance 154,Trainer
Klawf,Switch Cart Astral Radiance 154,Trainer
Klawf,Hisuian Heavy Ball Astral Radiance 146,Trainer
Klawf,Hisuian Heavy Ball Astral Radiance 146,Trainer
Klawf,Ultra Ball Scarlet & Violet 196,Trainer
Klawf,Ultra Ball Scarlet & Violet 196,Trainer
Klawf,Precious Trolley Surging Sparks 185,Trainer
Klawf,Energy Loto Astral Radiance 140,Trainer
Klawf,Ancient Booster Energy Capsule Temporal Forces 140,Trainer
Klawf,Ancient Booster Energy Capsule Temporal Forces 140,Trainer
Klawf,Ancient Booster Energy Capsule Temporal Forces 140,Trainer
Klawf,Binding Mochi Shrouded Fable 55,Trainer
Klawf,Binding Mochi Shrouded Fable 55,Trainer
Klawf,Binding Mochi Shrouded Fable 55,Trainer
Klawf,Forest Seal Stone Silver Tempest 156,Trainer
Klawf,Forest Seal Stone Silver Tempest 156,Trainer
Klawf,Supereffective Glasses Astral Radiance 152,Trainer
Klawf,Area Zero Underdepths Stellar Crown 131,Trainer
Klawf,Area Zero Underdepths Stellar Crown 131,Trainer
Klawf,Area Zero Underdepths Stellar Crown 131,Trainer
Klawf,Area Zero Underdepths Stellar Crown 131,Trainer
Klawf,Double Turbo Energy Brilliant Stars 151,Energy
Klawf,Double Turbo Energy Brilliant Stars 151,Energy
Klawf,Double Turbo Energy Brilliant Stars 151,Energy
Klawf,Double Turbo Energy Brilliant Stars 151,Energy
Klawf1,Brute Bonnet Paradox Rift 123,Pokemon
Klawf1,Brute Bonnet Paradox Rift 123,Pokemon
Klawf1,Klawf Paradox Rift 105,Pokemon
Klawf1,Klawf Paradox Rift 105,Pokemon
Klawf1,Terapagos ex Stellar Crown 128,Pokemon
Klawf1,Terapagos ex Stellar Crown 128,Pokemon
Klawf1,Latias ex Surging Sparks 76,Pokemon
Klawf1,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Klawf1,Oranguru V Astral Radiance 133,Pokemon
Klawf1,Iron Bundle Paradox Rift 56,Pokemon
