Deck Name,Card Name,Type
Charizard,Charmander 151 4,Pokemon
Charizard,Charmander 151 4,Pokemon
Charizard,Charmander 151 4,Pokemon
Charizard,Charmeleon Paldean Fates 8,Pokemon
Charizard,Charizard ex Obsidian Flames 125,Pokemon
Charizard,Charizard ex Obsidian Flames 125,Pokemon
Charizard,Pidgey Obsidian Flames 162,Pokemon
Charizard,Pidgey Obsidian Flames 162,Pokemon
Charizard,Pidgeot ex Obsidian Flames 164,Pokemon
Charizard,Pidgeot ex Obsidian Flames 164,Pokemon
Charizard,Duskull Shrouded Fable 18,Pokemon
Charizard,Duskull Shrouded Fable 18,Pokemon
Charizard,Dusclops Shrouded Fable 19,Pokemon
Charizard,Dusknoir Shrouded Fable 20,Pokemon
Charizard,Fezandipiti ex Shrouded Fable 38,Pokemon
Charizard,Rotom V Lost Origin 58,Pokemon
Charizard,Lumineon V Brilliant Stars 40,Pokemon
Charizard,Radiant Charizard Crown Zenith 20,Pokemon
Charizard,Iono Paldea Evolved 185,Trainer
Charizard,Iono Paldea Evolved 185,Trainer
Charizard,Iono Paldea Evolved 185,Trainer
Charizard,Arven Obsidian Flames 186,Trainer
Charizard,Arven Obsidian Flames 186,Trainer
Charizard,Boss's Orders Paldea Evolved 172,Trainer
Charizard,Boss's Orders Paldea Evolved 172,Trainer
Charizard,Thorton Lost Origin 167,Trainer
Charizard,Professor's Research Scarlet & Violet 189,Trainer
Charizard,Professor Turo's Scenario Paradox Rift 171,Trainer
Charizard,Briar Stellar Crown 132,Trainer
Charizard,Ultra Ball Scarlet & Violet 196,Trainer
Charizard,Ultra Ball Scarlet & Violet 196,Trainer
Charizard,Ultra Ball Scarlet & Violet 196,Trainer
Charizard,Ultra Ball Scarlet & Violet 196,Trainer
Charizard,Rare Candy Scarlet & Violet 191,Trainer
Charizard,Rare Candy Scarlet & Violet 191,Trainer
Charizard,Rare Candy Scarlet & Violet 191,Trainer
Charizard,Rare Candy Scarlet & Violet 191,Trainer
Charizard,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Charizard,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Charizard,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Charizard,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Charizard,Nest Ball Scarlet & Violet 181,Trainer
Charizard,Nest Ball Scarlet & Violet 181,Trainer
Charizard,Nest Ball Scarlet & Violet 181,Trainer
Charizard,Super Rod Paldea Evolved 188,Trainer
Charizard,Super Rod Paldea Evolved 188,Trainer
Charizard,Counter Catcher Paradox Rift 160,Trainer
Charizard,Counter Catcher Paradox Rift 160,Trainer
Charizard,Night Stretcher Shrouded Fable 61,Trainer
Charizard,Pal Pad Scarlet & Violet 182,Trainer
Charizard,Secret Box Twilight Masquerade 163,Trainer
Charizard,Forest Seal Stone Silver Tempest 156,Trainer
Charizard,Defiance Band Scarlet & Violet 169,Trainer
