Deck Name,Card Name,Type
Regidrago,Regidrago V Silver Tempest 135,Pokemon
Regidrago,Regidrago V Silver Tempest 135,Pokemon
Regidrago,Regidrago V Silver Tempest 135,Pokemon
Regidrago,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago,Dragapult ex Twilight Masquerade 130,Pokemon
Regidrago,Giratina VSTAR Lost Origin 131,Pokemon
Regidrago,Hisuian Goodra VSTAR Lost Origin 136,Pokemon
Regidrago,Alolan Exeggutor ex Surging Sparks 133,Pokemon
Regidrago,Kyurem Shrouded Fable 47,Pokemon
Regidrago,Squawkabilly ex Paldea Evolved 169,Pokemon
Regidrago,Fezandipiti ex Shrouded Fable 38,Pokemon
Regidrago,Mew ex 151 151,Pokemon
Regidrago,Cleffa Obsidian Flames 80,Pokemon
Regidrago,Radiant Charizard Crown Zenith 20,Pokemon
Regidrago,Professor's Research Scarlet & Violet 189,Trainer
Regidrago,Professor's Research Scarlet & Violet 189,Trainer
Regidrago,Professor's Research Scarlet & Violet 189,Trainer
Regidrago,Professor's Research Scarlet & Violet 189,Trainer
Regidrago,Iono Paldea Evolved 185,Trainer
Regidrago,Iono Paldea Evolved 185,Trainer
Regidrago,Boss's Orders Paldea Evolved 172,Trainer
Regidrago,Boss's Orders Paldea Evolved 172,Trainer
Regidrago,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago,Nest Ball Scarlet & Violet 181,Trainer
Regidrago,Nest Ball Scarlet & Violet 181,Trainer
Regidrago,Nest Ball Scarlet & Violet 181,Trainer
Regidrago,Nest Ball Scarlet & Violet 181,Trainer
Regidrago,Energy Switch Scarlet & Violet 173,Trainer
Regidrago,Energy Switch Scarlet & Violet 173,Trainer
Regidrago,Energy Switch Scarlet & Violet 173,Trainer
Regidrago,Energy Switch Scarlet & Violet 173,Trainer
Regidrago,Earthen Vessel Paradox Rift 163,Trainer
Regidrago,Earthen Vessel Paradox Rift 163,Trainer
Regidrago,Earthen Vessel Paradox Rift 163,Trainer
Regidrago,Earthen Vessel Paradox Rift 163,Trainer
Regidrago,Super Rod Paldea Evolved 188,Trainer
Regidrago,Super Rod Paldea Evolved 188,Trainer
Regidrago,Superior Energy Retrieval Paldea Evolved 189,Trainer
Regidrago,Canceling Cologne Astral Radiance 136,Trainer
Regidrago,Switch Scarlet & Violet 194,Trainer
Regidrago,Prime Catcher Temporal Forces 157,Trainer
Regidrago,Temple of Sinnoh Astral Radiance 155,Trainer
Regidrago,Jamming Tower Twilight Masquerade 153,Trainer
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Grass Energy Scarlet & Violet 9,Energy
Regidrago,Fire Energy Scarlet & Violet 10,Energy
Regidrago,Fire Energy Scarlet & Violet 10,Energy
Regidrago1,Regidrago V Silver Tempest 135,Pokemon
Regidrago1,Regidrago V Silver Tempest 135,Pokemon
Regidrago1,Regidrago V Silver Tempest 135,Pokemon
Regidrago1,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago1,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago1,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago1,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago1,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago1,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago1,Squawkabilly ex Paldea Evolved 169,Pokemon
Regidrago1,Radiant Charizard Crown Zenith 20,Pokemon
Regidrago1,Mew ex 151 151,Pokemon
Regidrago1,Kyurem Shrouded Fable 47,Pokemon
Regidrago1,Hisuian Goodra VSTAR Lost Origin 136,Pokemon
Regidrago1,Giratina VSTAR Lost Origin 131,Pokemon
Regidrago1,Fezandipiti ex Shrouded Fable 38,Pokemon
Regidrago1,Dragapult ex Twilight Masquerade 130,Pokemon
Regidrago1,Cleffa Obsidian Flames 80,Pokemon
Regidrago1,Alolan Exeggutor ex Surging Sparks 133,Pokemon
Regidrago1,Professor's Research Scarlet & Violet 189,Trainer
Regidrago1,Professor's Research Scarlet & Violet 189,Trainer
Regidrago1,Professor's Research Scarlet & Violet 189,Trainer
Regidrago1,Professor's Research Scarlet & Violet 189,Trainer
Regidrago1,Iono Paldea Evolved 185,Trainer
Regidrago1,Iono Paldea Evolved 185,Trainer
Regidrago1,Iono Paldea Evolved 185,Trainer
Regidrago1,Boss's Orders Paldea Evolved 172,Trainer
Regidrago1,Boss's Orders Paldea Evolved 172,Trainer
Regidrago1,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago1,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago1,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago1,Ultra Ball Scarlet & Violet 196,Trainer
Regidrago1,Nest Ball Scarlet & Violet 181,Trainer
Regidrago1,Nest Ball Scarlet & Violet 181,Trainer
Regidrago1,Nest Ball Scarlet & Violet 181,Trainer
Regidrago1,Nest Ball Scarlet & Violet 181,Trainer
Regidrago1,Energy Switch Scarlet & Violet 173,Trainer
Regidrago1,Energy Switch Scarlet & Violet 173,Trainer
Regidrago1,Energy Switch Scarlet & Violet 173,Trainer
Regidrago1,Energy Switch Scarlet & Violet 173,Trainer
Regidrago1,Earthen Vessel Paradox Rift 163,Trainer
Regidrago1,Earthen Vessel Paradox Rift 163,Trainer
Regidrago1,Earthen Vessel Paradox Rift 163,Trainer
Regidrago1,Earthen Vessel Paradox Rift 163,Trainer
Regidrago1,Super Rod Paldea Evolved 188,Trainer
Regidrago1,Super Rod Paldea Evolved 188,Trainer
Regidrago1,Switch Scarlet & Violet 194,Trainer
Regidrago1,Prime Catcher Temporal Forces 157,Trainer
Regidrago1,Canceling Cologne Astral Radiance 136,Trainer
Regidrago1,Jamming Tower Twilight Masquerade 153,Trainer
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Grass Energy Scarlet & Violet 9,Energy
Regidrago1,Fire Energy Scarlet & Violet 10,Energy
Regidrago1,Fire Energy Scarlet & Violet 10,Energy
Regidrago1,Fire Energy Scarlet & Violet 10,Energy
Regidrago2,Regidrago V Silver Tempest 135,Pokemon
Regidrago2,Regidrago V Silver Tempest 135,Pokemon
Regidrago2,Regidrago V Silver Tempest 135,Pokemon
Regidrago2,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago2,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago2,Regidrago VSTAR Silver Tempest 136,Pokemon
Regidrago2,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago2,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago2,Teal Mask Ogerpon ex Twilight Masquerade 25,Pokemon
Regidrago2,Dragapult ex Twilight Masquerade 130,Pokemon
Regidrago2,Giratina VSTAR Lost Origin 131,Pokemon
Regidrago2,Hisuian Goodra VSTAR Lost Origin 136,Pokemon
Regidrago2,Kyurem Shrouded Fable 47,Pokemon
Regidrago2,Squawkabilly ex Paldea Evolved 169,Pokemon
Regidrago2,Fezandipiti ex Shrouded Fable 38,Pokemon
Regidrago2,Mew ex 151 151,Pokemon
Regidrago2,Cleffa Obsidian Flames 80,Pokemon
Regidrago2,Radiant Charizard Crown Zenith 20,Pokemon
