Deck Name,Card Name,Type
Gardevoir,Ralts Astral Radiance 60,Pokemon
Gardevoir,Ralts Astral Radiance 60,Pokemon
Gardevoir,Ralts Astral Radiance 60,Pokemon
Gardevoir,Ralts Astral Radiance 60,Pokemon
Gardevoir,Kirlia Silver Tempest 68,Pokemon
Gardevoir,Kirlia Silver Tempest 68,Pokemon
Gardevoir,Kirlia Silver Tempest 68,Pokemon
Gardevoir,Kirlia Silver Tempest 68,Pokemon
Gardevoir,Gardevoir ex Scarlet & Violet 86,Pokemon
Gardevoir,Gardevoir ex Scarlet & Violet 86,Pokemon
Gardevoir,Munkidori Twilight Masquerade 95,Pokemon
Gardevoir,Munkidori Twilight Masquerade 95,Pokemon
Gardevoir,Drifloon Scarlet & Violet 89,Pokemon
Gardevoir,Scream Tail Paradox Rift 86,Pokemon
Gardevoir,Klefki Scarlet & Violet 96,Pokemon
Gardevoir,Mawile Lost Origin 71,Pokemon
Gardevoir,Manaphy Brilliant Stars 41,Pokemon
Gardevoir,Radiant Greninja Astral Radiance 46,Pokemon
Gardevoir,Fezandipiti ex Shrouded Fable 38,Pokemon
Gardevoir,Arven Obsidian Flames 186,Trainer
Gardevoir,Arven Obsidian Flames 186,Trainer
Gardevoir,Arven Obsidian Flames 186,Trainer
Gardevoir,Arven Obsidian Flames 186,Trainer
Gardevoir,Iono Paldea Evolved 185,Trainer
Gardevoir,Iono Paldea Evolved 185,Trainer
Gardevoir,Iono Paldea Evolved 185,Trainer
Gardevoir,Boss's Orders Paldea Evolved 172,Trainer
Gardevoir,Professor Turo's Scenario Paradox Rift 171,Trainer
Gardevoir,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir,Nest Ball Scarlet & Violet 181,Trainer
Gardevoir,Nest Ball Scarlet & Violet 181,Trainer
Gardevoir,Earthen Vessel Paradox Rift 163,Trainer
Gardevoir,Earthen Vessel Paradox Rift 163,Trainer
Gardevoir,Super Rod Paldea Evolved 188,Trainer
Gardevoir,Super Rod Paldea Evolved 188,Trainer
Gardevoir,Counter Catcher Paradox Rift 160,Trainer
Gardevoir,Counter Catcher Paradox Rift 160,Trainer
Gardevoir,Unfair Stamp Twilight Masquerade 165,Trainer
Gardevoir,Hisuian Heavy Ball Astral Radiance 146,Trainer
Gardevoir,Pal Pad Scarlet & Violet 182,Trainer
Gardevoir,Technical Machine: Evolution Paradox Rift 178,Trainer
Gardevoir,Technical Machine: Evolution Paradox Rift 178,Trainer
Gardevoir,Bravery Charm Paldea Evolved 173,Trainer
Gardevoir,Bravery Charm Paldea Evolved 173,Trainer
Gardevoir,Artazon Paldea Evolved 171,Trainer
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir,Darkness Energy Scarlet & Violet 15,Energy
Gardevoir,Darkness Energy Scarlet & Violet 15,Energy
Gardevoir,Darkness Energy Scarlet & Violet 15,Energy
Gardevoir1,Ralts Astral Radiance 60,Pokemon
Gardevoir1,Ralts Astral Radiance 60,Pokemon
Gardevoir1,Ralts Astral Radiance 60,Pokemon
Gardevoir1,Ralts Astral Radiance 60,Pokemon
Gardevoir1,Kirlia Silver Tempest 68,Pokemon
Gardevoir1,Kirlia Silver Tempest 68,Pokemon
Gardevoir1,Kirlia Silver Tempest 68,Pokemon
Gardevoir1,Kirlia Silver Tempest 68,Pokemon
Gardevoir1,Gardevoir ex Scarlet & Violet 86,Pokemon
Gardevoir1,Gardevoir ex Scarlet & Violet 86,Pokemon
Gardevoir1,Munkidori Twilight Masquerade 95,Pokemon
Gardevoir1,Munkidori Twilight Masquerade 95,Pokemon
Gardevoir1,Drifloon Scarlet & Violet 89,Pokemon
Gardevoir1,Scream Tail Paradox Rift 86,Pokemon
Gardevoir1,Klefki Scarlet & Violet 96,Pokemon
Gardevoir1,Mawile Lost Origin 71,Pokemon
Gardevoir1,Manaphy Brilliant Stars 41,Pokemon
Gardevoir1,Radiant Greninja Astral Radiance 46,Pokemon
Gardevoir1,Arven Obsidian Flames 186,Trainer
Gardevoir1,Arven Obsidian Flames 186,Trainer
Gardevoir1,Arven Obsidian Flames 186,Trainer
Gardevoir1,Arven Obsidian Flames 186,Trainer
Gardevoir1,Iono Paldea Evolved 185,Trainer
Gardevoir1,Iono Paldea Evolved 185,Trainer
Gardevoir1,Iono Paldea Evolved 185,Trainer
Gardevoir1,Boss's Orders Paldea Evolved 172,Trainer
Gardevoir1,Professor Turo's Scenario Paradox Rift 171,Trainer
Gardevoir1,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir1,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir1,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir1,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir1,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir1,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir1,Nest Ball Scarlet & Violet 181,Trainer
Gardevoir1,Nest Ball Scarlet & Violet 181,Trainer
Gardevoir1,Earthen Vessel Paradox Rift 163,Trainer
Gardevoir1,Earthen Vessel Paradox Rift 163,Trainer
Gardevoir1,Counter Catcher Paradox Rift 160,Trainer
Gardevoir1,Counter Catcher Paradox Rift 160,Trainer
Gardevoir1,Night Stretcher Shrouded Fable 61,Trainer
Gardevoir1,Night Stretcher Shrouded Fable 61,Trainer
Gardevoir1,Super Rod Paldea Evolved 188,Trainer
Gardevoir1,Unfair Stamp Twilight Masquerade 165,Trainer
Gardevoir1,Hisuian Heavy Ball Astral Radiance 146,Trainer
Gardevoir1,Pal Pad Scarlet & Violet 182,Trainer
Gardevoir1,Technical Machine: Evolution Paradox Rift 178,Trainer
Gardevoir1,Technical Machine: Evolution Paradox Rift 178,Trainer
Gardevoir1,Bravery Charm Paldea Evolved 173,Trainer
Gardevoir1,Artazon Paldea Evolved 171,Trainer
Gardevoir1,Moonlit Hill Paldean Fates 81,Trainer
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Psychic Energy Scarlet & Violet 13,Energy
Gardevoir1,Darkness Energy Scarlet & Violet 15,Energy
Gardevoir1,Darkness Energy Scarlet & Violet 15,Energy
Gardevoir1,Darkness Energy Scarlet & Violet 15,Energy
Gardevoir2,Ralts Astral Radiance 60,Pokemon
Gardevoir2,Ralts Astral Radiance 60,Pokemon
Gardevoir2,Ralts Astral Radiance 60,Pokemon
Gardevoir2,Ralts Astral Radiance 60,Pokemon
Gardevoir2,Kirlia Silver Tempest 68,Pokemon
Gardevoir2,Kirlia Silver Tempest 68,Pokemon
Gardevoir2,Kirlia Silver Tempest 68,Pokemon
Gardevoir2,Kirlia Silver Tempest 68,Pokemon
Gardevoir2,Gardevoir ex Scarlet & Violet 86,Pokemon
Gardevoir2,Gardevoir ex Scarlet & Violet 86,Pokemon
Gardevoir2,Munkidori Twilight Masquerade 95,Pokemon
Gardevoir2,Munkidori Twilight Masquerade 95,Pokemon
Gardevoir2,Drifloon Scarlet & Violet 89,Pokemon
Gardevoir2,Scream Tail Paradox Rift 86,Pokemon
Gardevoir2,Flutter Mane Temporal Forces 78,Pokemon
Gardevoir2,Klefki Scarlet & Violet 96,Pokemon
Gardevoir2,Tatsugiri Twilight Masquerade 131,Pokemon
Gardevoir2,Manaphy Brilliant Stars 41,Pokemon
Gardevoir2,Arven Obsidian Flames 186,Trainer
Gardevoir2,Arven Obsidian Flames 186,Trainer
Gardevoir2,Arven Obsidian Flames 186,Trainer
Gardevoir2,Arven Obsidian Flames 186,Trainer
Gardevoir2,Iono Paldea Evolved 185,Trainer
Gardevoir2,Iono Paldea Evolved 185,Trainer
Gardevoir2,Iono Paldea Evolved 185,Trainer
Gardevoir2,Iono Paldea Evolved 185,Trainer
Gardevoir2,Boss's Orders Paldea Evolved 172,Trainer
Gardevoir2,Professor Turo's Scenario Paradox Rift 171,Trainer
Gardevoir2,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir2,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir2,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir2,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Gardevoir2,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir2,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir2,Ultra Ball Scarlet & Violet 196,Trainer
Gardevoir2,Earthen Vessel Paradox Rift 163,Trainer
Gardevoir2,Earthen Vessel Paradox Rift 163,Trainer
Gardevoir2,Counter Catcher Paradox Rift 160,Trainer
Gardevoir2,Counter Catcher Paradox Rift 160,Trainer
