Deck Name,Card Name,Type
Palkia,Duskull Brilliant Stars 60,Pokemon
Palkia,Duskull Brilliant Stars 60,Pokemon
Palkia,Duskull Brilliant Stars 60,Pokemon
Palkia,Dusclops Shrouded Fable 19,Pokemon
Palkia,Dusknoir Shrouded Fable 20,Pokemon
Palkia,Dusknoir Shrouded Fable 20,Pokemon
Palkia,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia,Froakie Obsidian Flames 56,Pokemon
Palkia,Froakie Obsidian Flames 56,Pokemon
Palkia,Greninja ex Twilight Masquerade 106,Pokemon
Palkia,Radiant Greninja Astral Radiance 46,Pokemon
Palkia,Fezandipiti ex Shrouded Fable 38,Pokemon
Palkia,Squawkabilly ex Paldea Evolved 169,Pokemon
Palkia,Mew ex 151 151,Pokemon
Palkia,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Palkia,Iono Paldea Evolved 185,Trainer
Palkia,Iono Paldea Evolved 185,Trainer
Palkia,Iono Paldea Evolved 185,Trainer
Palkia,Iono Paldea Evolved 185,Trainer
Palkia,Irida Astral Radiance 147,Trainer
Palkia,Irida Astral Radiance 147,Trainer
Palkia,Nest Ball Scarlet & Violet 181,Trainer
Palkia,Nest Ball Scarlet & Violet 181,Trainer
Palkia,Nest Ball Scarlet & Violet 181,Trainer
Palkia,Nest Ball Scarlet & Violet 181,Trainer
Palkia,Ultra Ball Scarlet & Violet 196,Trainer
Palkia,Ultra Ball Scarlet & Violet 196,Trainer
Palkia,Ultra Ball Scarlet & Violet 196,Trainer
Palkia,Ultra Ball Scarlet & Violet 196,Trainer
Palkia,Rare Candy Scarlet & Violet 191,Trainer
Palkia,Rare Candy Scarlet & Violet 191,Trainer
Palkia,Rare Candy Scarlet & Violet 191,Trainer
Palkia,Rare Candy Scarlet & Violet 191,Trainer
Palkia,Night Stretcher Shrouded Fable 61,Trainer
Palkia,Night Stretcher Shrouded Fable 61,Trainer
Palkia,Night Stretcher Shrouded Fable 61,Trainer
Palkia,Night Stretcher Shrouded Fable 61,Trainer
Palkia,Trekking Shoes Astral Radiance 156,Trainer
Palkia,Trekking Shoes Astral Radiance 156,Trainer
Palkia,Earthen Vessel Paradox Rift 163,Trainer
Palkia,Earthen Vessel Paradox Rift 163,Trainer
Palkia,Hisuian Heavy Ball Astral Radiance 146,Trainer
Palkia,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Palkia,Lost Vacuum Lost Origin 162,Trainer
Palkia,Prime Catcher Temporal Forces 157,Trainer
Palkia,Counter Catcher Paradox Rift 160,Trainer
Palkia,Switch Scarlet & Violet 194,Trainer
Palkia,PokÃ©Stop Pokémon GO 68,Trainer
Palkia,PokÃ©Stop Pokémon GO 68,Trainer
Palkia,PokÃ©Stop Pokémon GO 68,Trainer
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia,Water Energy Scarlet & Violet 11,Energy
Palkia1,Duskull Brilliant Stars 60,Pokemon
Palkia1,Duskull Brilliant Stars 60,Pokemon
Palkia1,Duskull Brilliant Stars 60,Pokemon
Palkia1,Dusclops Shrouded Fable 19,Pokemon
Palkia1,Dusknoir Shrouded Fable 20,Pokemon
Palkia1,Dusknoir Shrouded Fable 20,Pokemon
Palkia1,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia1,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia1,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia1,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia1,Froakie Obsidian Flames 56,Pokemon
Palkia1,Froakie Obsidian Flames 56,Pokemon
Palkia1,Greninja ex Twilight Masquerade 106,Pokemon
Palkia1,Radiant Greninja Astral Radiance 46,Pokemon
Palkia1,Fezandipiti ex Shrouded Fable 38,Pokemon
Palkia1,Squawkabilly ex Paldea Evolved 169,Pokemon
Palkia1,Mew ex 151 151,Pokemon
Palkia1,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Palkia1,Iono Paldea Evolved 185,Trainer
Palkia1,Iono Paldea Evolved 185,Trainer
Palkia1,Iono Paldea Evolved 185,Trainer
Palkia1,Iono Paldea Evolved 185,Trainer
Palkia1,Irida Astral Radiance 147,Trainer
Palkia1,Irida Astral Radiance 147,Trainer
Palkia1,Nest Ball Scarlet & Violet 181,Trainer
Palkia1,Nest Ball Scarlet & Violet 181,Trainer
Palkia1,Nest Ball Scarlet & Violet 181,Trainer
Palkia1,Nest Ball Scarlet & Violet 181,Trainer
Palkia1,Ultra Ball Scarlet & Violet 196,Trainer
Palkia1,Ultra Ball Scarlet & Violet 196,Trainer
Palkia1,Ultra Ball Scarlet & Violet 196,Trainer
Palkia1,Ultra Ball Scarlet & Violet 196,Trainer
Palkia1,Rare Candy Scarlet & Violet 191,Trainer
Palkia1,Rare Candy Scarlet & Violet 191,Trainer
Palkia1,Rare Candy Scarlet & Violet 191,Trainer
Palkia1,Rare Candy Scarlet & Violet 191,Trainer
Palkia1,Night Stretcher Shrouded Fable 61,Trainer
Palkia1,Night Stretcher Shrouded Fable 61,Trainer
Palkia1,Night Stretcher Shrouded Fable 61,Trainer
Palkia1,Night Stretcher Shrouded Fable 61,Trainer
Palkia1,Trekking Shoes Astral Radiance 156,Trainer
Palkia1,Trekking Shoes Astral Radiance 156,Trainer
Palkia1,Earthen Vessel Paradox Rift 163,Trainer
Palkia1,Earthen Vessel Paradox Rift 163,Trainer
Palkia1,Hisuian Heavy Ball Astral Radiance 146,Trainer
Palkia1,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Palkia1,Lost Vacuum Lost Origin 162,Trainer
Palkia1,Prime Catcher Temporal Forces 157,Trainer
Palkia1,Counter Catcher Paradox Rift 160,Trainer
Palkia1,Switch Scarlet & Violet 194,Trainer
Palkia1,PokÃ©Stop Pokémon GO 68,Trainer
Palkia1,PokÃ©Stop Pokémon GO 68,Trainer
Palkia1,PokÃ©Stop Pokémon GO 68,Trainer
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia1,Water Energy Scarlet & Violet 11,Energy
Palkia2,Hoothoot Stellar Crown 114,Pokemon
Palkia2,Hoothoot Stellar Crown 114,Pokemon
Palkia2,Hoothoot Stellar Crown 114,Pokemon
Palkia2,Hoothoot Stellar Crown 114,Pokemon
Palkia2,Noctowl Stellar Crown 115,Pokemon
Palkia2,Noctowl Stellar Crown 115,Pokemon
Palkia2,Noctowl Stellar Crown 115,Pokemon
Palkia2,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia2,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia2,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia2,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia2,Terapagos ex Stellar Crown 128,Pokemon
Palkia2,Terapagos ex Stellar Crown 128,Pokemon
Palkia2,Fan Rotom Stellar Crown 118,Pokemon
Palkia2,Fan Rotom Stellar Crown 118,Pokemon
Palkia2,Mew ex 151 151,Pokemon
Palkia2,Fezandipiti ex Shrouded Fable 38,Pokemon
Palkia2,Radiant Greninja Astral Radiance 46,Pokemon
Palkia2,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Palkia2,Boss's Orders Paldea Evolved 172,Trainer
Palkia2,Boss's Orders Paldea Evolved 172,Trainer
Palkia2,Iono Paldea Evolved 185,Trainer
Palkia2,Iono Paldea Evolved 185,Trainer
Palkia2,Thorton Lost Origin 167,Trainer
Palkia2,Professor's Research Scarlet & Violet 189,Trainer
Palkia2,Irida Astral Radiance 147,Trainer
Palkia2,Kieran Twilight Masquerade 154,Trainer
Palkia2,Judge Scarlet & Violet 176,Trainer
Palkia2,Nest Ball Scarlet & Violet 181,Trainer
Palkia2,Nest Ball Scarlet & Violet 181,Trainer
Palkia2,Nest Ball Scarlet & Violet 181,Trainer
Palkia2,Nest Ball Scarlet & Violet 181,Trainer
Palkia2,Ultra Ball Scarlet & Violet 196,Trainer
Palkia2,Ultra Ball Scarlet & Violet 196,Trainer
Palkia2,Ultra Ball Scarlet & Violet 196,Trainer
Palkia2,Ultra Ball Scarlet & Violet 196,Trainer
Palkia2,Night Stretcher Shrouded Fable 61,Trainer
Palkia2,Night Stretcher Shrouded Fable 61,Trainer
Palkia2,Night Stretcher Shrouded Fable 61,Trainer
Palkia2,Earthen Vessel Paradox Rift 163,Trainer
Palkia2,Earthen Vessel Paradox Rift 163,Trainer
Palkia2,Glass Trumpet Stellar Crown 135,Trainer
Palkia2,Glass Trumpet Stellar Crown 135,Trainer
Palkia2,Hisuian Heavy Ball Astral Radiance 146,Trainer
Palkia2,Lost Vacuum Lost Origin 162,Trainer
Palkia2,Switch Scarlet & Violet 194,Trainer
Palkia2,Energy Switch Scarlet & Violet 173,Trainer
Palkia2,Buddy-Buddy Poffin Temporal Forces 144,Trainer
Palkia2,Canceling Cologne Astral Radiance 136,Trainer
Palkia2,Prime Catcher Temporal Forces 157,Trainer
Palkia2,Area Zero Underdepths Stellar Crown 131,Trainer
Palkia2,Area Zero Underdepths Stellar Crown 131,Trainer
Palkia2,Area Zero Underdepths Stellar Crown 131,Trainer
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia2,Water Energy Scarlet & Violet 11,Energy
Palkia3,Hoothoot Stellar Crown 114,Pokemon
Palkia3,Hoothoot Stellar Crown 114,Pokemon
Palkia3,Hoothoot Stellar Crown 114,Pokemon
Palkia3,Hoothoot Stellar Crown 114,Pokemon
Palkia3,Noctowl Stellar Crown 115,Pokemon
Palkia3,Noctowl Stellar Crown 115,Pokemon
Palkia3,Noctowl Stellar Crown 115,Pokemon
Palkia3,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia3,Origin Forme Palkia V Astral Radiance 39,Pokemon
Palkia3,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia3,Origin Forme Palkia VSTAR Astral Radiance 40,Pokemon
Palkia3,Terapagos ex Stellar Crown 128,Pokemon
Palkia3,Terapagos ex Stellar Crown 128,Pokemon
Palkia3,Fan Rotom Stellar Crown 118,Pokemon
Palkia3,Fan Rotom Stellar Crown 118,Pokemon
Palkia3,Mew ex 151 151,Pokemon
Palkia3,Bloodmoon Ursaluna ex Twilight Masquerade 141,Pokemon
Palkia3,Fezandipiti ex Shrouded Fable 38,Pokemon
Palkia3,Radiant Greninja Astral Radiance 46,Pokemon
Palkia3,Squawkabilly ex Paldea Evolved 169,Pokemon
Palkia3,Boss's Orders Paldea Evolved 172,Trainer
Palkia3,Boss's Orders Paldea Evolved 172,Trainer
Palkia3,Judge Scarlet & Violet 176,Trainer
Palkia3,Thorton Lost Origin 167,Trainer
Palkia3,Professor's Research Scarlet & Violet 189,Trainer
Palkia3,Kieran Twilight Masquerade 154,Trainer
Palkia3,Irida Astral Radiance 147,Trainer
Palkia3,Iono Paldea Evolved 185,Trainer
Palkia3,Ultra Ball Scarlet & Violet 196,Trainer
Palkia3,Ultra Ball Scarlet & Violet 196,Trainer
Palkia3,Ultra Ball Scarlet & Violet 196,Trainer
Palkia3,Ultra Ball Scarlet & Violet 196,Trainer
Palkia3,Nest Ball Scarlet & Violet 181,Trainer
Palkia3,Nest Ball Scarlet & Violet 181,Trainer
Palkia3,Nest Ball Scarlet & Violet 181,Trainer
Palkia3,Nest Ball Scarlet & Violet 181,Trainer
Palkia3,Night Stretcher Shrouded Fable 61,Trainer
Palkia3,Night Stretcher Shrouded Fable 61,Trainer
Palkia3,Night Stretcher Shrouded Fable 61,Trainer
